state,County,premature_death_raw_value,poor_or_fair_health_raw_value,poor_physical_health_days_raw_value,poor_mental_health_days_raw_value,low_birthweight_raw_value,adult_smoking_raw_value,adult_obesity_raw_value,excessive_drinking_raw_value,motor_vehicle_crash_deaths_raw_value,chlamydia_rate_raw_value,teen_births_raw_value,uninsured_adults_raw_value,preventable_hospital_stays_raw_value,diabetes_monitoring_raw_value,hospice_use_raw_value,high_school_graduation_raw_value,college_degrees_raw_value,unemployment_raw_value,children_in_poverty_raw_value,income_inequality_raw_value,inadequate_social_support_raw_value,single-parent_households_raw_value,violent_crime_raw_value,homicides_raw_value,air_pollution-particulate_matter_days_raw_value,air_pollution-ozone_days_raw_value,access_to_healthy_foods_raw_value,liquor_store_density_raw_value,smoking_during_pregnancy_raw_value,motor_vehicle_crash_occupancy_rate_raw_value,on-road_motor_vehicle_crash-related_er_visits_raw_value,off-road_motor_vehicle_crash-related_er_visits_raw_value,no_recent_dental_visit_raw_value,did_not_get_needed_health_care_raw_value,lead_poisoned_children_(wi)_raw_value,municipal_water_(wi)_raw_value,contaminants_in_municipal_water_(wi)_raw_value
IN,Franklin County,6418.2,0.2211,4,2.46,0.0767,0.2596,0.286,0.1374,25.3,34.2,36,0.145,96.04269139,0.8075,0.224612828,0.887052342,0.173603862,0.066,0.128,40.8,0.1735,0.063009916,,2.5,5,4,0.571428571,0.867340301,,,,,,,,,
IN,Fulton County,8381.7,0.1973,4.51,3.28,0.0709,0.2633,0.284,0.1212,21.1,135.8,50.7,0.152,85.8510356,0.6568,0.163323225,0.712962963,0.105131682,0.065,0.167,37.3,0.2163,0.11610666,,1.4,7,1,0.375,0.493072334,,,,,,,,,
IN,Gibson County,6277.1,0.1452,3.48,3.27,0.0751,0.243,0.282,0.1005,22.2,107.8,40.4,0.129,76.88601462,0.88,0.203892636,0.833740831,0.143401129,0.052,0.138,37.8,0.1879,0.055521331,,4.8,8,0,0.363636364,1.819615455,,,,,,,,,
IN,Grant County,8556.8,0.1842,4.39,3.77,0.091,0.2641,0.301,0.105,18,315.1,46.2,0.127,87.6354202,0.8182,0.176699932,0.707627119,0.154018928,0.077,0.248,41.3,0.2085,0.101377988,,3,9,3,0.545454546,1.438828218,,,,,,,,,
IN,Greene County,8842,0.2036,4.09,4.22,0.0843,0.2655,0.286,0.0882,18.6,86.9,49.6,0.146,119.9258434,0.8056,0.239604981,0.705128205,0.11388421,0.062,0.19,41,0.1443,0.0955983,,3.9,6,10,0.25,1.518187891,,,,,,,,,
IN,Hamilton County,4394,0.1025,2.52,2.5,0.0653,0.154,0.247,0.1645,7.8,98.4,16.4,0.104,56.76031274,0.8528,0.314178219,0.873680379,0.530491566,0.038,0.046,41.4,0.1279,0.076972375,,1.2,12,18,0.5,0.714342408,,,,,,,,,
IN,Hancock County,6920,0.1464,3.76,3.33,0.0659,0.2243,0.283,0.1655,15.8,121.4,35.4,0.14,73.74030765,0.8441,0.338447239,0.845022624,0.248591665,0.048,0.063,36.1,0.1203,0.074776516,,1.2,8,15,0.25,0.619665071,,,,,,,,,
IN,Harrison County,7741.2,0.1618,3.58,3.54,0.0708,0.2326,0.29,0.1828,24.1,148.7,39.6,0.136,91.08812831,0.7978,0.332690697,0.818867925,0.136706613,0.059,0.139,38.4,0.1549,0.07138097,,3.2,12,4,0.307692308,0.546089996,,,,,,,,,
IN,Hendricks County,5126.8,0.1301,3.14,3.14,0.0609,0.23,0.276,0.1626,10.3,115.1,23.4,0.139,80.37605661,0.8104,0.410412435,0.866037736,0.300125837,0.043,0.054,37.4,0.1452,0.080896392,,1.6,9,7,0.5,0.767312488,,,,,,,,,
IN,Henry County,9107.3,0.157,3.83,3.43,0.0758,0.2797,0.302,0.0977,22.4,153.4,45.2,0.124,97.62058572,0.8381,0.251124481,0.804651163,0.138404886,0.071,0.148,39.2,0.1755,0.074969707,,2.7,8,3,0.266666667,1.263370673,,,,,,,,,
