state,County,premature_death_raw_value,poor_or_fair_health_raw_value,poor_physical_health_days_raw_value,poor_mental_health_days_raw_value,low_birthweight_raw_value,adult_smoking_raw_value,adult_obesity_raw_value,food_environment_index_raw_value,physical_inactivity_raw_value,access_to_exercise_opportunities_raw_value,excessive_drinking_raw_value,alcohol-impaired_driving_deaths_raw_value,sexually_transmitted_infections_raw_value,teen_births_raw_value,uninsured_raw_value,primary_care_physicians_raw_value,dentists_raw_value,mental_health_providers_raw_value,preventable_hospital_stays_raw_value,diabetes_monitoring_raw_value,mammography_screening_raw_value,high_school_graduation_raw_value,some_college_raw_value,unemployment_raw_value,children_in_poverty_raw_value,income_inequality_raw_value,children_in_single-parent_households_raw_value,social_associations_raw_value,violent_crime_raw_value,injury_deaths_raw_value,air_pollution_-_particulate_matter_raw_value,drinking_water_violations_raw_value,severe_housing_problems_raw_value,driving_alone_to_work_raw_value,long_commute_-_driving_alone_raw_value,premature_age-adjusted_mortality_raw_value,child_mortality_raw_value,infant_mortality_raw_value,frequent_physical_distress_raw_value,frequent_mental_distress_raw_value,diabetes_prevalence_raw_value,hiv_prevalence_raw_value,food_insecurity_raw_value,limited_access_to_healthy_foods_raw_value,drug_overdose_deaths_raw_value,drug_overdose_deaths_-_modeled_raw_value,motor_vehicle_crash_deaths_raw_value,insufficient_sleep_raw_value,uninsured_adults_raw_value,uninsured_children_raw_value,health_care_costs_raw_value,other_primary_care_providers_raw_value,median_household_income_raw_value,children_eligible_for_free_lunch_raw_value,residential_segregation_-_black/white_raw_value,residential_segregation_-_non-white/white_raw_value,homicides_raw_value,population_raw_value,%_below_18_years_of_age_raw_value,%_65_and_older_raw_value,%_non-hispanic_african_american_raw_value,%_american_indian_and_alaskan_native_raw_value,%_asian_raw_value,%_native_hawaiian/other_pacific_islander_raw_value,%_hispanic_raw_value,%_non-hispanic_white_raw_value,%_not_proficient_in_english_raw_value,%_females_raw_value,%_rural_raw_value,communicable_disease_raw_value,coronary_heart_disease_hospitalizations_raw_value,cerebrovascular_disease_hospitalizations_raw_value,self-inflicted_injury_hospitalizations_raw_value,smoking_during_pregnancy_raw_value,drug_arrests_raw_value,alcohol-related_hospitalizations_raw_value,motor_vehicle_crash_occupancy_rate_raw_value,on-road_motor_vehicle_crash-related_er_visits_raw_value,off-road_motor_vehicle_crash-related_er_visits_raw_value,no_recent_dental_visit_raw_value,did_not_get_needed_health_care_raw_value,childhood_immunizations_raw_value,local_health_department_staffing_raw_value,reading_proficiency_raw_value,w-2_enrollment_raw_value,poverty_raw_value,older_adults_living_alone_raw_value,hate_crimes_raw_value,child_abuse_raw_value,injury_hospitalizations_raw_value,fall_fatalities_65+_raw_value,year_structure_built_raw_value,male_population_0-17_raw_value,male_population_18-44_raw_value,male_population_45-64_raw_value,male_population_65+_raw_value,total_male_population_raw_value,female_population_0-17_raw_value,female_population_18-44_raw_value,female_population_45-64_raw_value,female_population_65+_raw_value,total_female_population_raw_value,population_growth_raw_value
NY,Steuben County,6306.6,0.122,3.3,3.5,0.067414282,0.163,0.295,7.7,0.233,0.466521871,0.186,0.269230769,272.5538294,30.5403289,0.112896479,0.000608211,0.000386202,0.001463504,55.5,0.855919003,0.67,0.841863034,0.608930216,0.069216346,0.241,4.400850559,0.339405388,11.75874303,154.1509192,54.78233623,12.4,1,0.12866489,0.801924298,0.264,324.6,38.65694721,6.033376123,0.099,0.108,0.094,88.82060638,0.138,0.042084423,9.456041228,4,11.85053299,0.316,0.135116956,0.054309634,8148.01,0.000772405,46849,0.333615305,49.44479462,41.98448129,1.8,98394,0.223357115,0.174309409,0.015102547,0.002693254,0.015194016,0.000294733,0.015956258,0.937821412,0.003785401,0.504217737,0.603707445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Suffolk County,5255.4,0.124,3.1,3.2,0.076692036,0.137,0.228,9.1,0.219,0.944897044,0.185,0.228654125,225.0424039,15.09096132,0.107448557,0.000759466,0.000784448,0.002218277,59.4,0.864134276,0.62,0.883367322,0.648014995,0.053205184,0.104,4.175410482,0.238742717,6.481132038,148.1133509,54.83805791,10.24,1,0.225596857,0.79274166,0.401,268,32.76786655,4.372097619,0.088,0.093,0.09,230.0109529,0.071,0.042171071,18.28084938,6,10.29341406,0.374,0.133950985,0.037564694,10354.75,0.000707267,85886,0.234080457,61.6902986,50.34024727,2.7,1502968,0.222387968,0.152435714,0.071392738,0.005773243,0.040296267,0.000856971,0.182055107,0.692559655,0.045140369,0.507348127,0.026011317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Sullivan County,8247.1,0.152,3.8,3.8,0.08937121,0.159,0.307,7.5,0.228,0.622615962,0.172,0.274193548,316.4350917,28.85898577,0.144163105,0.000430444,0.000408201,0.001303609,55.4,0.885900571,0.54,0.749216868,0.523796348,0.066780719,0.258,4.808910891,0.36361437,11.73938564,257.7784652,70.80756941,11.37,1,0.222821507,0.773631841,0.37,397.5,46.99593192,5.471314679,0.11,0.113,0.105,592.289468,0.137,0.063348436,23.53956609,7,14.22506641,0.358,0.17623913,0.056536691,9167.41,0.000276523,48908,0.435887015,50.8324257,39.61009609,2.3,75943,0.215753921,0.167941746,0.082654096,0.006741899,0.016920585,0.000605717,0.149177673,0.731219467,0.028687337,0.487352356,0.741653449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Tioga County,6637,0.108,3.1,3.4,0.073926868,0.142,0.315,8.4,0.266,0.707579462,0.187,0.413793103,231.7841436,29.97840173,0.093734081,0.000298549,0.000180469,0.001243232,55.2,0.863957597,0.63,0.827316294,0.616738121,0.060999459,0.18,4.499913104,0.266908962,13.73325637,66.97052647,50.36891294,11.92,1,0.10605315,0.847304628,0.302,299.4,49.70608575,6.50364204,0.091,0.102,0.09,82.27357138,0.109,0.026242778,13.94505648,5,11.47854911,0.337,0.115095969,0.038317119,7608.91,0.000461199,52195,0.329590818,40.52559884,18.0134981,,49870,0.219129737,0.1793463,0.008181271,0.002245839,0.007459394,0.000501303,0.016823742,0.954682174,0.003473239,0.502767195,0.656586797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Tompkins County,4958.1,0.129,3.5,3.6,0.066181127,0.151,0.237,7.5,0.253,0.784549644,0.195,0.306122449,267.1763169,6.621757859,0.115996958,0.000849282,0.000515804,0.002846472,29.86,0.910384068,0.68,0.818256262,0.811349628,0.043226031,0.172,5.78230352,0.303095798,10.51950935,117.1675003,45.20946072,12.02,1,0.200674536,0.620859995,0.16,269.4,34.01886501,3.792068257,0.104,0.11,0.069,145.5269608,0.138,0.058273613,11.90238756,4,6.32690707,0.346,0.132800736,0.053920105,6944.47,0.000983848,51880,0.290225297,49.50993178,46.00511088,1.8,104691,0.154483193,0.122579782,0.039287045,0.004355675,0.103743397,0.000678186,0.04747304,0.779255141,0.01054284,0.506681568,0.433431137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Ulster County,5780.6,0.129,3.3,3.4,0.066170249,0.143,0.281,7.9,0.192,0.801959527,0.178,0.265060241,247.5370068,16.36508781,0.125257016,0.000640891,0.000620688,0.002964892,60.99,0.863203463,0.63,0.806934484,0.638583043,0.057756823,0.173,4.812565931,0.30884891,9.226621289,186.0756428,50.8585539,11.16,1,0.208110993,0.76997721,0.377,298.6,40.97810498,5.858085809,0.096,0.104,0.091,435.5323384,0.118,0.060140517,13.06987412,5,10.263562,0.356,0.150056133,0.046979677,8825.94,0.000393472,56718,0.290446841,51.18102121,34.12085713,1.6,180445,0.184837485,0.173604145,0.057790463,0.004317105,0.020177894,0.000432265,0.097614232,0.801701349,0.012907252,0.502435645,0.460401221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Warren County,5536.3,0.113,3.2,3.5,0.068622921,0.142,0.26,8.1,0.21,0.950674966,0.188,0.242424242,302.1148036,24.82245053,0.100156614,0.00113259,0.000938852,0.002924292,46.24,0.894736842,0.71,0.833033149,0.649955725,0.065066369,0.205,4.303710203,0.330601954,12.85642132,164.228505,43.27856462,11.06,1,0.161844643,0.822989244,0.268,290.4,45.93828956,6.029684601,0.093,0.103,0.09,139.3543835,0.119,0.042451287,8.680200972,4,7.613743895,0.334,0.120699154,0.036769733,7992.9,0.001754575,54585,0.278027386,54.55872675,34.88403839,,64973,0.189740354,0.197897588,0.011019962,0.002662645,0.008757484,0.000230865,0.021870623,0.943268742,0.00470713,0.510519754,0.339294139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Washington County,6250.5,0.122,3.3,3.5,0.077485714,0.154,0.298,8.1,0.241,0.62409833,0.19,0.276595745,203.387676,30.94298755,0.108949024,0.000364541,0.000208427,0.001090233,51.97,0.884684685,0.69,0.804349227,0.485313064,0.060407595,0.204,3.995389662,0.3463924,10.14375604,138.2595073,57.6889551,10.89,1,0.161041074,0.777668988,0.382,325.6,57.95757506,7.24801812,0.095,0.104,0.089,308.6703291,0.12,0.039778197,6.90024894,4,11.77027146,0.347,0.131714932,0.043458406,8457.15,0.000448919,47547,0.32989805,53.4170688,21.34416082,2.9,62372,0.197540563,0.172625537,0.029708844,0.002821779,0.005419098,0.000384788,0.025299814,0.927210928,0.00393536,0.481514141,0.678989496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Wayne County,5826.6,0.121,3.3,3.5,0.0684856,0.15,0.294,8.3,0.263,0.645160602,0.191,0.1875,265.6999634,28.59749145,0.101066663,0.000291977,0.000456269,0.000793039,69.22,0.890510949,0.51,0.869402421,0.606027631,0.061542596,0.184,3.927817263,0.333796141,11.35466569,155.016761,53.61516323,12.27,0,0.119798063,0.851400903,0.366,302.5,40.75976196,5.11991377,0.096,0.104,0.091,155.8189435,0.112,0.034183559,5.766056666,4,11.62854747,0.347,0.122983764,0.042366624,9145.56,0.000369361,49191,0.313363425,48.78643238,37.69418446,,92051,0.220768922,0.165386579,0.030146332,0.003628423,0.006702806,0.000391088,0.040303745,0.903401375,0.008463267,0.504611574,0.606972231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Westchester County,4280,0.129,3.3,3.3,0.08256148,0.111,0.196,8.9,0.197,0.989542868,0.18,0.25136612,331.0907068,14.44802112,0.118951932,0.001402763,0.001052811,0.003185165,49.29,0.867725468,0.65,0.869551143,0.699934785,0.051235765,0.133,5.775541894,0.27072402,8.515671933,256.6236139,34.58386902,10.8,1,0.252236318,0.59319643,0.389,221.6,31.87600235,4.685204883,0.095,0.098,0.095,459.2476801,0.094,0.012690778,10.16153044,4,4.856742632,0.377,0.148967455,0.042665847,9497.25,0.000635388,83152,0.284051121,59.81595146,46.8211287,2.6,972634,0.228620427,0.156412381,0.136351392,0.008427631,0.062338968,0.001211144,0.236726251,0.550266596,0.065331918,0.516893302,0.032734775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Wyoming County,5788.9,0.121,3.2,3.4,0.055089383,0.153,0.263,8,0.243,0.587593405,0.201,0.090909091,195.7414303,17.70694998,0.09577,0.000433411,0.000364184,0.001481014,63.76,0.888888889,0.63,0.845229008,0.509988458,0.065124111,0.169,3.867964452,0.335105725,16.3733115,94.73509699,52.44138483,12.71,1,0.100735529,0.828865866,0.381,300.3,50.93632959,,0.094,0.101,0.085,507.3046323,0.119,0.048348095,8.82747109,3,13.24035661,0.351,0.114124438,0.043643715,7970.79,0.000388463,53783,0.256112469,,25.33102286,,41188,0.192337574,0.154656696,0.055283092,0.003763232,0.00492862,0.000194231,0.032169564,0.896887443,0.005466959,0.456783529,0.640825525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Yates County,5897.9,0.131,3.5,3.7,0.049841414,0.158,0.253,8.5,0.237,0.513018779,0.181,0.52173913,232.7967172,17.89419087,0.13803493,0.000437271,0.000476039,0.000833069,56.8,0.87150838,0.69,0.810064935,0.467738694,0.055769725,0.237,4.215156357,0.285884556,15.50325966,66.75305297,51.34078433,12.27,1,0.179958027,0.7102012,0.317,287.2,66.33224162,,0.103,0.112,0.096,51.99716379,0.117,0.004804704,,4,11.287255,0.33,0.16679899,0.069361277,7090.54,0.000436369,48368,0.412049089,,24.60074253,,25208,0.232545224,0.184425579,0.009203428,0.002657886,0.005276103,0.00015868,0.0217788,0.953110124,0.011910774,0.512972072,0.712245542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC,North Carolina,7199.7,0.186,3.9,3.7,0.090104768,0.191,0.291276272,6.7,0.249956619,0.754067308,0.151,0.327312364,496.4688021,38.90938584,0.1810975,0.000707246,0.000523936,0.001922875,51.12,0.890804558,0.68,0.82907296,0.645106011,0.061385385,0.241,4.754088339,0.363119896,11.6764114,355.269555,63.20273528,12.33,0.55,0.165048386,0.811599532,0.305,362.1,57.61724102,7.798441677,0.12,0.115,0.10529325,326.5394147,0.182974109,0.065101137,13.2513781,13.8,14.65897176,0.324,0.224837918,0.06938658,8937.41,0.000855997,46596,0.471731913,50.80870673,45.56297799,6.2,9943964,0.230043974,0.14716083,0.213552362,0.015560696,0.026889176,0.001199723,0.08993154,0.640942083,0.026839436,0.512810686,0.339125664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC,Alamance County,7726.6,0.181,3.8,4,0.093689807,0.189,0.337,6.3,0.256,0.843830849,0.142,0.291139241,333.2900208,37.50888235,0.194632461,0.000544119,0.000474992,0.00113613,39.89,0.885297845,0.72,0.784229911,0.57717871,0.05602318,0.244,4.63093241,0.397912886,11.20625996,420.9260373,59.92075251,12.47,1,0.165644172,0.822324793,0.309,388.1,57.73062328,7.162450472,0.117,0.12,0.11,270.5631925,0.167,0.113023869,13.14400224,7,12.13166649,0.332,0.242936379,0.071644969,8640.51,0.000545599,41296,0.483651964,40.62618226,35.72443649,4.4,155792,0.228625347,0.161279141,0.18776959,0.014185581,0.015661908,0.000725326,0.121180805,0.656805228,0.031649165,0.522998614,0.28558006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
