state,County,premature_death_raw_value,poor_or_fair_health_raw_value,poor_physical_health_days_raw_value,poor_mental_health_days_raw_value,low_birthweight_raw_value,adult_smoking_raw_value,adult_obesity_raw_value,food_environment_index_raw_value,physical_inactivity_raw_value,access_to_exercise_opportunities_raw_value,excessive_drinking_raw_value,alcohol-impaired_driving_deaths_raw_value,sexually_transmitted_infections_raw_value,teen_births_raw_value,uninsured_raw_value,primary_care_physicians_raw_value,dentists_raw_value,mental_health_providers_raw_value,preventable_hospital_stays_raw_value,mammography_screening_raw_value,flu_vaccinations_raw_value,high_school_completion_raw_value,some_college_raw_value,unemployment_raw_value,children_in_poverty_raw_value,income_inequality_raw_value,children_in_single-parent_households_raw_value,social_associations_raw_value,violent_crime_raw_value,injury_deaths_raw_value,air_pollution_-_particulate_matter_raw_value,drinking_water_violations_raw_value,severe_housing_problems_raw_value,driving_alone_to_work_raw_value,long_commute_-_driving_alone_raw_value,covid-19_age-adjusted_mortality_raw_value,life_expectancy_raw_value,premature_age-adjusted_mortality_raw_value,child_mortality_raw_value,infant_mortality_raw_value,frequent_physical_distress_raw_value,frequent_mental_distress_raw_value,diabetes_prevalence_raw_value,hiv_prevalence_raw_value,food_insecurity_raw_value,limited_access_to_healthy_foods_raw_value,drug_overdose_deaths_raw_value,motor_vehicle_crash_deaths_raw_value,insufficient_sleep_raw_value,uninsured_adults_raw_value,uninsured_children_raw_value,other_primary_care_providers_raw_value,high_school_graduation_raw_value,disconnected_youth_raw_value,reading_scores_raw_value,math_scores_raw_value,school_segregation_raw_value,school_funding_adequacy_raw_value,gender_pay_gap_raw_value,median_household_income_raw_value,living_wage_raw_value,children_eligible_for_free_or_reduced_price_lunch_raw_value,residential_segregation_-_black/white_raw_value,residential_segregation_-_non-white/white_raw_value,childcare_cost_burden_raw_value,childcare_centers_raw_value,homicides_raw_value,suicides_raw_value,firearm_fatalities_raw_value,juvenile_arrests_raw_value,traffic_volume_raw_value,homeownership_raw_value,severe_housing_cost_burden_raw_value,broadband_access_raw_value,population_raw_value,%_below_18_years_of_age_raw_value,%_65_and_older_raw_value,%_non-hispanic_black_raw_value,%_american_indian_&_alaska_native_raw_value,%_asian_raw_value,%_native_hawaiian/other_pacific_islander_raw_value,%_hispanic_raw_value,%_non-hispanic_white_raw_value,%_not_proficient_in_english_raw_value,%_female_raw_value,%_rural_raw_value
AR,Lafayette County,10753.53077,0.294,5.746976519,6.062230746,0.095238095,0.26,0.399,6,0.386,0.104774362,0.135737953,0.333333333,634.1,57.6,0.120082389,0.000301932,,0.000606428,4565,0.33,0.32,0.789787935,0.48778626,0.076414705,0.295,5.46781054,0.498407643,7.548309179,178.2785424,80.33084407,9.7,0,0.134615385,0.79784689,0.473,,74.22658843,610.0890917,,,0.187,0.206,0.141,138.4,0.189,0.113577026,,,0.389650422,0.135762483,0.07224959,0.000758035,,,2.623571102,2.469461395,0.047175757,-7710.375,0.642886901,40007,,0.853188929,28.28800297,25.6549735,0.201514735,13.9275766,,,35.70259736,,30.48776872,0.781573499,0.114485981,0.636645963,6596,0.181625227,0.250454821,0.354457247,0.007277138,0.007125531,0.000151607,0.032443905,0.589751365,0.008164547,0.512128563,1
AR,Lawrence County,12090.19209,0.244,5.326597456,6.008346662,0.083900227,0.24,0.383,5.6,0.34,0.298420902,0.1575999,0.224489796,560.8,38.05605554,0.088088247,0.00036572,0.000304692,0.002193784,5457,0.36,0.28,0.836524823,0.578256303,0.061450044,0.261,4.11959955,0.2523598,9.752529562,226.872444,129.6812508,9.1,0,0.101071976,0.853575306,0.433,135.5634635,73.02484342,595.0726313,69.05123602,,0.17,0.198,0.105,72.3,0.184,0.168136653,22.33502538,41.3009809,0.360064951,0.104079383,0.048937887,0.0007922,0.952559055,,2.788560393,2.720102383,0.057345287,-2839.515,0.724912806,41188,,0.754397186,56.23467788,27.0202156,0.245678353,16.7539267,,24.02715617,25.45146043,28.23529412,63.02567235,0.688639125,0.072371638,0.7509113,16410,0.22126752,0.196892139,0.011761121,0.006520414,0.002864107,0.000426569,0.016697136,0.945886655,0.000899974,0.50828763,0.635601493
AR,Lee County,14584.42995,0.306,5.721975794,5.821308794,0.132547865,0.254,0.421,5.4,0.385,0.412413661,0.137672714,0.444444444,801.6,46.92082111,0.093667046,0.000112905,0.00046987,0.000352402,5088,0.41,0.36,0.782043438,0.373430539,0.07486631,0.454,7.294473311,0.416820135,11.29050469,293.5118435,111.5050958,8.9,1,0.150746269,0.749621212,0.311,128.6165646,71.62365957,713.3057679,,,0.185,0.195,0.157,532.8,0.175,0.202868184,,23.30966108,0.411850975,0.114797966,0.04377312,0.000704804,,,2.084555281,1.774858337,0.01183756,-16137.1,0.885553087,32502,,1,49.6112029,48.76745782,0.51316842,12.63157895,18.64772886,24.57758627,,,31.04871151,0.580262336,0.181203008,0.662086196,8513,0.177493246,0.209091977,0.535651357,0.005990838,0.00587337,0.000234935,0.030071655,0.409843768,0.010956645,0.440502761,0.635072909
AR,Lincoln County,10916.57482,0.276,5.392977016,5.621828065,0.085956417,0.248,0.41,5.9,0.36,0.332602236,0.153767951,0.272727273,314.8,30.05464481,0.099492521,7.67813E-05,0.000154512,0.001545117,6706,0.34,0.41,0.793061961,0.28094481,0.059728743,0.232,4.400371601,0.172800718,5.374692875,154.8545088,104.9443795,9.3,0,0.12911726,0.864889991,0.409,167.2412564,73.89062236,539.4990309,,,0.173,0.186,0.129,346.1,0.164,0.175038212,30.49477777,15.87435973,0.399140442,0.11409643,0.0625,0.000618047,0.925,,2.384595735,2.408560148,0.006404474,-3623.538,0.717110333,47903,,0.656726309,45.02381676,38.41143484,0.20019623,10.52631579,,17.06626041,,15,26.17598353,0.778488049,0.090352221,0.538632574,12944,0.163627936,0.161696539,0.294035847,0.005871446,0.003862794,7.72559E-05,0.045503708,0.641300989,0.010544539,0.38249382,1
AR,Little River County,11153.23479,0.247,5.220523371,5.810061796,0.090999011,0.229,0.389,7.5,0.348,0.459114722,0.146971442,0.444444444,660.7,40.19488429,0.096414426,0.000163145,0.000410509,8.21018E-05,4178,0.43,0.47,0.897670169,0.534994879,0.064438254,0.244,5.20759148,0.392349727,13.86736275,144.2712299,103.9382866,9.9,1,0.073529412,0.860627874,0.472,146.7789933,73.13118003,538.3426624,91.71787581,,0.165,0.192,0.119,155.3,0.164,0.009872798,,32.34040587,0.379864032,0.112814579,0.056147832,0.000821018,0.898275862,,2.838145454,2.695056235,0.020939169,-4682.685,0.745775762,47125,,0.672450053,33.30452081,26.33516396,0.188774536,7.643312102,,24.78870587,25.98457166,12.30769231,46.46597534,0.779289494,0.039365334,0.726001512,12180,0.221921182,0.216420361,0.195155993,0.016256158,0.005090312,0.001067324,0.03727422,0.725615764,8.65052E-05,0.519047619,0.685217523
AR,Logan County,11040.35695,0.252,5.356170687,5.946865286,0.100608071,0.238,0.379,6.4,0.352,0.438509372,0.152140661,0.529411765,368,44.5026178,0.100718133,0.000232927,0.000467072,0.000186829,5082,0.39,0.33,0.86658411,0.519441675,0.066427911,0.222,3.878288975,0.205805893,13.50973633,379.9990732,93.40867683,9.4,1,0.117542823,0.780126611,0.4,38.1729266,73.86689244,539.6860857,75.34578333,,0.174,0.196,0.111,76.5,0.185,0.08599977,21.6674663,19.10421017,0.374063928,0.116809578,0.056455142,0.0006539,0.930597015,,2.876591208,2.887160163,0.050366805,-2566.5736,0.762336911,43577,,0.893184979,59.13721294,28.48927809,0.216903412,6.933744222,,28.59985086,14.79741415,16.81818182,0.051429719,0.751644934,0.057404115,0.718985525,21410,0.212097151,0.207753386,0.013171415,0.011863615,0.021345166,0.000420364,0.031200374,0.906398879,0.0029034,0.504437179,0.7101955
AR,Lonoke County,9191.74309,0.208,4.670522723,5.455664832,0.080995903,0.212,0.355,7.6,0.301,0.436962374,0.162967058,0.25,383.3,26.15032027,0.082693677,0.000163691,0.000257031,0.000622286,3329,0.37,0.5,0.898861216,0.574562907,0.05538003,0.142,4.295556783,0.235049568,7.91171616,340.3115804,82.78394483,9.8,1,0.122813547,0.85099004,0.487,95.4922063,75.19202712,460.4186575,71.9031704,8.507347254,0.145,0.175,0.095,119.7,0.141,0.052967568,19.0142471,19.83445107,0.346327287,0.100244006,0.042593639,0.00066287,0.889109972,0.096215681,2.999718133,3.05010692,0.078323333,-2333.1622,0.804051446,59623,,0.474575056,46.76718088,33.0892306,0.237777368,8.552229689,4.32037548,19.66552459,14.48035999,15.28735632,73.84405314,0.710926593,0.092114338,0.830112426,73921,0.250537736,0.145006155,0.063080857,0.007332152,0.00906373,0.000852261,0.046617335,0.855981386,0.005128055,0.508488792,0.448124525
AR,Madison County,9047.8675,0.256,5.469829097,5.9783459,0.06215847,0.244,0.376,6.6,0.345,0.449067888,0.151214089,0.217391304,325.8,45.57106238,0.14477657,0.000301641,0.00036049,0.001502043,3079,0.32,0.42,0.845306765,0.393269972,0.03871577,0.252,4.487793524,0.232515176,4.222972973,187.539733,90.1208106,8.6,0,0.118644068,0.88193889,0.56,44.46486472,76.29985479,422.2311152,136.4788458,,0.174,0.199,0.111,94,0.161,0.109862309,,26.40403454,0.361216947,0.16787783,0.088376804,0.000300409,0.825,,2.627357395,2.761806731,0.038334125,357.4248,1.00625227,45144,,0.64599686,,28.35826468,0.332513734,6.357856494,,26.6720959,17.04988309,15,3.679748307,0.803143094,0.07092573,0.725558313,16644,0.227829849,0.200012016,0.005227109,0.017724105,0.008591685,0.007390051,0.060802692,0.887466955,0.000980905,0.500660899,1
AR,Marion County,11023.5735,0.23,5.198257448,5.875756592,0.082945014,0.229,0.358,7,0.316,0.291899358,0.160197535,0.133333333,209.7,37.43315508,0.109011628,0.000179705,0.000178678,0.000119119,4733,0.44,0.37,0.860534827,0.552736983,0.064469685,0.276,3.998836668,0.21423819,8.386246556,342.1596128,103.6656662,8.5,0,0.147676162,0.777614679,0.345,73.71785651,74.70269323,527.5667566,,,0.163,0.192,0.105,130.8,0.182,0.032087566,,25.97155249,0.34459843,0.125157017,0.062560778,0.000595593,0.924561404,,2.802949757,2.850804486,0.042620985,-3842.921,0.834988117,39888,,0.86494393,,14.12064731,0.229993983,6.858710562,,26.36455635,28.92995335,18.57142857,13.27010119,0.795027465,0.114155943,0.789679098,16790,0.188147707,0.290768315,0.005717689,0.010601549,0.006253723,0.000655152,0.025908279,0.934246575,0.001009018,0.508397856,1
AR,Miller County,11643.65874,0.251,5.255213996,5.784639131,0.096446701,0.222,0.388,6.2,0.342,0.655791266,0.147881176,0.24137931,795.2,46.46348476,0.093552319,0.000739765,0.000324247,0.002570813,5006,0.42,0.43,0.856684564,0.556568365,0.068734197,0.244,5.492367082,0.420913884,10.63411702,537.3695246,80.80919388,10,1,0.151343284,0.848111855,0.217,112.7887677,73.63037078,581.1515463,70.74551132,9.630005068,0.168,0.189,0.124,333.8,0.173,0.122464158,9.228923446,21.95763815,0.375328533,0.113958275,0.043797766,0.000671654,0.827607843,0.131134969,2.786626307,2.829906142,0.264251613,-1798.793667,0.732108519,43634,,0.831278289,59.56770111,54.27149465,0.261218316,6.782215524,8.520874504,18.62051635,20.66144162,29.33333333,218.4432777,0.657510624,0.104949588,0.790909651,43177,0.233735554,0.175371147,0.253560924,0.009125229,0.005720638,0.000856938,0.036848322,0.676540751,0.000367098,0.509947426,0.400119645
AR,Mississippi County,16100.70074,0.286,5.600936769,5.968255381,0.113740809,0.254,0.412,6.1,0.393,0.560240964,0.139653383,0.324324324,1143.9,61.84364061,0.094468391,0.000418194,0.000399341,0.001322817,6648,0.34,0.47,0.820528033,0.459347293,0.090303522,0.28,5.260773724,0.404276892,11.80782761,987.169087,125.6342112,9,1,0.154529307,0.845975546,0.235,183.9743051,69.70803827,742.0662763,102.6263003,9.874759152,0.184,0.202,0.136,235.9,0.196,0.089944279,15.57938929,22.71779414,0.405899223,0.116969124,0.044872394,0.000648929,0.885808436,0.099958695,2.563090046,2.535289536,0.327912754,-6478.201753,0.718007966,47892,,0.814738203,56.30677722,52.34986488,0.206067819,12.44952894,26.10850968,16.67832883,37.69026335,17.91666667,86.88849155,0.57637009,0.090777372,0.773867533,40066,0.260644936,0.153970948,0.356711426,0.005540858,0.005441022,0.000324465,0.047197125,0.57452703,0.009030814,0.51225478,0.362672117
AR,Monroe County,17644.30279,0.3,5.742461687,6.06318547,0.114021572,0.259,0.423,5.5,0.393,0.394772365,0.138422268,0.291666667,1014.8,57.90190736,0.095738235,0.000447694,0.000607533,0.000303767,4839,0.39,0.25,0.788578372,0.418353576,0.066887174,0.365,5.934885029,0.537075537,10.44620206,370.994941,142.280554,8.9,1,0.121804511,0.817689531,0.342,101.3313427,69.68768249,760.30947,,,0.187,0.205,0.144,352.5,0.199,0.149839698,,40.46944557,0.395421084,0.113000549,0.047584187,0.001063184,,,2.246373761,2.08348826,0.034567124,-13149.54,0.716057624,35833,,1,25.80164482,24.01351355,0.224988139,16.27906977,,,31.94053254,13.33333333,70.97779052,0.617501546,0.0625,0.684910328,6584,0.217648846,0.240279465,0.399605103,0.007746051,0.008353584,0,0.029161604,0.537515188,0,0.528705954,0.689777887
AR,Montgomery County,10745.29586,0.262,5.547174214,6.061982417,0.066225166,0.25,0.371,5.9,0.345,0.97406978,0.147416499,0.375,256,36.12281758,0.1504329,0.000222568,0.000222074,0.000222074,3682,0.25,0.33,0.830636782,0.442477876,0.068097954,0.283,4.37047324,0.195876289,5.564210995,218.5075931,127.4768529,9.1,1,0.119680851,0.785222292,0.4,110.0096664,75.10719701,488.2641156,,,0.177,0.202,0.113,76.6,0.198,0.105365059,,27.0847274,0.350915669,0.172661871,0.083234947,0.000888297,,,2.873404619,2.738831714,0.063748559,-4226.2905,0.811293781,42751,,0.774957699,,34.95907793,0.227597015,9.259259259,,32.01784827,24.60079617,,13.47567519,0.842417701,0.064220184,0.687803562,9006,0.184099489,0.276704419,0.004108372,0.014323784,0.012880302,0.000333111,0.044414835,0.905729514,0.014064698,0.505884966,1
