state,County,premature_death_raw_value,poor_or_fair_health_raw_value,poor_physical_health_days_raw_value,poor_mental_health_days_raw_value,low_birthweight_raw_value,adult_smoking_raw_value,adult_obesity_raw_value,food_environment_index_raw_value,physical_inactivity_raw_value,access_to_exercise_opportunities_raw_value,excessive_drinking_raw_value,alcohol-impaired_driving_deaths_raw_value,sexually_transmitted_infections_raw_value,teen_births_raw_value,uninsured_raw_value,primary_care_physicians_raw_value,dentists_raw_value,mental_health_providers_raw_value,preventable_hospital_stays_raw_value,diabetes_monitoring_raw_value,mammography_screening_raw_value,high_school_graduation_raw_value,some_college_raw_value,unemployment_raw_value,children_in_poverty_raw_value,income_inequality_raw_value,children_in_single-parent_households_raw_value,social_associations_raw_value,violent_crime_raw_value,injury_deaths_raw_value,air_pollution_-_particulate_matter_raw_value,drinking_water_violations_raw_value,severe_housing_problems_raw_value,driving_alone_to_work_raw_value,long_commute_-_driving_alone_raw_value,premature_age-adjusted_mortality_raw_value,child_mortality_raw_value,infant_mortality_raw_value,frequent_physical_distress_raw_value,frequent_mental_distress_raw_value,diabetes_prevalence_raw_value,hiv_prevalence_raw_value,food_insecurity_raw_value,limited_access_to_healthy_foods_raw_value,drug_overdose_deaths_raw_value,drug_overdose_deaths_-_modeled_raw_value,motor_vehicle_crash_deaths_raw_value,insufficient_sleep_raw_value,uninsured_adults_raw_value,uninsured_children_raw_value,health_care_costs_raw_value,other_primary_care_providers_raw_value,disconnected_youth_raw_value,median_household_income_raw_value,children_eligible_for_free_or_reduced_price_lunch_raw_value,residential_segregation_-_black/white_raw_value,residential_segregation_-_non-white/white_raw_value,homicides_raw_value,firearm_fatalities_raw_value,population_raw_value,%_below_18_years_of_age_raw_value,%_65_and_older_raw_value,%_non-hispanic_african_american_raw_value,%_american_indian_and_alaskan_native_raw_value,%_asian_raw_value,%_native_hawaiian/other_pacific_islander_raw_value,%_hispanic_raw_value,%_non-hispanic_white_raw_value,%_not_proficient_in_english_raw_value,%_females_raw_value,%_rural_raw_value,communicable_disease_raw_value,self-inflicted_injury_hospitalizations_raw_value,cancer_incidence_raw_value,smoking_during_pregnancy_raw_value,drug_arrests_raw_value,motor_vehicle_crash_occupancy_rate_raw_value,on-road_motor_vehicle_crash-related_er_visits_raw_value,off-road_motor_vehicle_crash-related_er_visits_raw_value,no_recent_dental_visit_raw_value,did_not_get_needed_health_care_raw_value,childhood_immunizations_raw_value,reading_proficiency_raw_value,w-2_enrollment_raw_value,poverty_raw_value,older_adults_living_alone_raw_value,hate_crimes_raw_value,child_abuse_raw_value,injury_hospitalizations_raw_value,fall_fatalities_65+_raw_value,year_structure_built_raw_value,male_population_0-17_raw_value,male_population_18-44_raw_value,male_population_45-64_raw_value,male_population_65+_raw_value,total_male_population_raw_value,female_population_0-17_raw_value,female_population_18-44_raw_value,female_population_45-64_raw_value,female_population_65+_raw_value,total_female_population_raw_value,population_growth_raw_value
KY,Carter County,10245.05401,0.241800586,5.093474687,4.806521933,0.091869919,0.233646419,0.385,7.7,0.368,0.29520202,0.145615817,0.357142857,238.8,52.22807858,0.071444886,0.000184108,0.000295792,0.001515936,79.05,0.886405959,0.528700906,0.995,0.539289559,0.101629247,0.316,4.150786089,0.321603928,7.732528169,46.33524771,81.63145238,9.4,0,0.116389549,0.787415315,0.477,492.3,53.12410609,,0.15049448,0.142050104,0.14,57,0.157,0.025435427,27.01806526,15,28.23042299,0.405197094,0.0826742,0.042820758,10592.66,0.000813429,0.2106,37406,0.66202613,52.03444976,41.66889952,,12.50211433,27046,0.22554167,0.172927605,0.006137691,0.002883975,0.002329365,0.000443689,0.011942616,0.96846114,0.002381603,0.505657029,0.793795094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,Casey County,11440.34322,0.256830688,5.473435055,4.954969214,0.091636364,0.251520704,0.367,7.8,0.318,0.263365716,0.126534628,0.428571429,169.9,57.53909708,0.093215531,6.32591E-05,0.000126462,0.000695542,145.45,0.845714286,0.431372549,0.925,0.457966373,0.045966916,0.366,5.242003711,0.218477956,5.693319838,43.56756084,100.423032,9.8,1,0.113985449,0.823220843,0.417,531.9,138.2361073,13.93497014,0.167277022,0.155695584,0.153,60.3,0.15,0.025564007,29.46499979,13,24.20938428,0.396368798,0.107980694,0.055416319,14091.07,0.000632311,0.2349,29417,0.720820864,,14.36686689,,18.8293185,15815,0.228833386,0.196206133,0.006070187,0.003730636,0.003604173,0.000632311,0.027948151,0.949541575,0.003943587,0.513310149,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,Christian County,9209.170348,0.222655395,4.787402467,4.269406849,0.091551883,0.226184548,0.371,6.3,0.309,0.673625854,0.155476195,0.282608696,557.6,61.55269338,0.070083805,0.000531995,0.001589474,0.003344805,62.25,0.838095238,0.581532417,0.88,0.595372293,0.060222447,0.27,4.248880619,0.296953941,13.50448103,237.6989658,63.86940331,10.1,0,0.155818924,0.765567766,0.162,468.1,74.02929092,6.844626968,0.149430647,0.137745512,0.102,175.1,0.189,0.115226989,,5,15.27898656,0.390337175,0.083055404,0.044157136,9691.57,0.002626087,0.2074,41081,0.705784205,41.63630818,38.48711205,8.896625085,18.40304841,72351,0.273983774,0.118270653,0.21148291,0.007408329,0.018520822,0.003897666,0.076059764,0.658954265,0.00558893,0.468867051,0.285552025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,Clark County,9832.175312,0.189439807,4.349326309,4.199643352,0.095030222,0.201071135,0.331,8,0.297,0.823098307,0.150750017,0.068965517,402.7,47.54829123,0.064220495,0.000531365,0.000558363,0.000558363,65.72,0.829787234,0.661417323,0.95,0.571618921,0.047266042,0.248,4.217723735,0.332402589,12.30528288,183.8389683,100.7077517,10.1,1,0.135351427,0.822925252,0.33,509,37.05876903,,0.131090899,0.127237762,0.127,126.9,0.142,0.02361518,29.81347942,15,16.00736339,0.371138437,0.072609099,0.04278714,10289.42,0.000893381,0.1646,48474,0.621665465,55.39430614,39.44539865,5.602577186,12.86821272,35819,0.223652252,0.170859041,0.047460845,0.002205533,0.005164857,0.000251263,0.029704905,0.902035233,0.007380293,0.510343672,0.274674978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,Clay County,12043.57102,0.287620685,5.890274545,5.028215736,0.119335347,0.292537216,0.401,6.4,0.336,0.989599632,0.125684753,0.368421053,89.8,62.91604037,0.087105198,0.000380717,0.000144467,0.000192623,115.32,0.872246696,0.360153257,0.81,0.36263911,0.096184561,0.524,6.102130393,0.354535274,6.186646362,75.85139319,119.9856395,9.5,1,0.159477124,0.756587202,0.434,694.2,61.46624944,,0.190405628,0.168375737,0.156,84,0.217,0.046088509,20.65918698,15,40.85842889,0.426548964,0.103239886,0.041571494,12492.3,0.001589136,0.3326,24901,0.763938316,72.92275199,48.73157583,10.04715465,27.39829564,20766,0.214437061,0.146296831,0.04030627,0.001974381,0.001637292,0.000529712,0.019599345,0.926658962,0.002564232,0.473514399,0.785687989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,Clinton County,11894.4712,0.23092288,5.047869139,4.575194397,0.097387173,0.246347217,0.352,7.8,0.343,0.411312305,0.130930752,0.272727273,127.9,53.7037037,0.09166463,0.000393159,0.000196522,0.001768694,160.91,0.810055866,0.495798319,0.925,0.415511265,0.073419078,0.367,4.479283633,0.312077703,7.863180657,24.48579824,131.5092155,9.4,0,0.128865979,0.846672283,0.182,564,,,0.157828261,0.14690862,0.145,129.4,0.165,0.000455747,52.43151134,15,26.60319238,0.391746878,0.103217158,0.061163388,13457.74,0.000491304,,29582,0.753525099,,,,,10177,0.231305886,0.183452884,0.004519996,0.00245652,0.00255478,0.004421735,0.027709541,0.951459173,0,0.504176083,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,Crittenden County,9562.506595,0.216315767,4.790767744,4.440767014,0.08028169,0.216963889,0.326,8,0.292,0.026516371,0.139330069,0.333333333,206,50.67385445,0.07432526,0.000435588,0.000108838,,145.94,0.816666667,0.494623656,0.825,0.545805207,0.049987748,0.292,5.485384716,0.247965534,18.51246869,75.2931053,101.8859744,9.9,0,0.156167979,0.777303754,0.33,497,,,0.145727161,0.138862814,0.132,78.1,0.147,0.015625723,,13,29.32958738,0.374494622,0.083960625,0.051210428,11877.35,0.000326513,0.2471,40656,0.556890459,,31.12502967,,23.84565359,9188,0.232150631,0.195907706,0.009033522,0.003700479,0.002176752,0.000653026,0.010013061,0.964192425,0.00770292,0.496081846,0.70821256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,Cumberland County,10321.44054,0.232190879,4.965015889,4.603970266,0.082142857,0.218410714,0.336,7.6,0.376,0.114644107,0.127188021,0.8,118.6,44.62326262,0.081268769,0.000591804,0.000445236,0.001632532,172.94,0.763358779,0.483146067,0.925,0.570498915,0.055172414,0.381,5.319084227,0.370218579,8.877052819,48.91649954,124.0768095,9.4,1,0.098696462,0.852220839,0.284,519.2,,,0.151451393,0.14370043,0.154,158.2,0.168,0.009813819,,15,52.58950734,0.373751751,0.090163934,0.05792277,15436.01,0.001335708,,30771,0.754027927,44.6538937,44.6538937,,,6738,0.215939448,0.212080736,0.028198278,0.001632532,0.001632532,0,0.012615019,0.939151083,0.001253722,0.515731671,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,Daviess County,7477.801898,0.196126284,4.635197698,4.373694949,0.076190476,0.217661672,0.309,7.9,0.255,0.765229267,0.158506299,0.254237288,455.9,43.92050248,0.058334872,0.000564181,0.000581897,0.002468046,53.34,0.898640297,0.704198473,0.908456105,0.620879573,0.044777761,0.199,4.63520652,0.345391686,13.50003526,173.5132529,73.59008095,11,0,0.121710526,0.865135631,0.175,410.3,54.00577446,6.106870229,0.139073889,0.132730587,0.121,107.6,0.136,0.047531882,12.44919383,8,13.67943268,0.367395427,0.068093892,0.035704154,9976.83,0.001234023,0.1265,51153,0.585355772,46.47675832,37.01130186,,13.58274221,99674,0.244145916,0.164185244,0.047986436,0.001284186,0.013915364,0.001454743,0.029074784,0.888636957,0.011014197,0.512510785,0.270164294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,Edmonson County,8504.304357,0.224829558,4.94600603,4.687579778,0.073976222,0.213056459,0.31,8.1,0.26,0.584244717,0.133127713,0.090909091,124.9,33.3465661,0.089044679,8.32848E-05,8.25491E-05,0.000330197,93.97,0.81420765,0.485436893,0.925,0.468694729,0.061258978,0.307,5.076118421,0.269902086,3.331390023,74.54239254,92.91984005,10,1,0.106652587,0.780542986,0.62,448.4,,,0.148797536,0.140904346,0.161,,0.142,0.011836125,,10,27.21313803,0.377701579,0.095653359,0.06992139,11520.68,0.000165098,,38395,0.619193466,,39.87451097,,,12114,0.190358263,0.203813769,0.017995707,0.004127456,0.002971768,8.25491E-05,0.010813934,0.953442298,0.005802876,0.497358428,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
