state,County,premature_death_raw_value,poor_or_fair_health_raw_value,poor_physical_health_days_raw_value,poor_mental_health_days_raw_value,low_birthweight_raw_value,adult_smoking_raw_value,adult_obesity_raw_value,food_environment_index_raw_value,physical_inactivity_raw_value,access_to_exercise_opportunities_raw_value,excessive_drinking_raw_value,alcohol-impaired_driving_deaths_raw_value,sexually_transmitted_infections_raw_value,teen_births_raw_value,uninsured_raw_value,primary_care_physicians_raw_value,dentists_raw_value,mental_health_providers_raw_value,preventable_hospital_stays_raw_value,diabetes_monitoring_raw_value,mammography_screening_raw_value,high_school_graduation_raw_value,some_college_raw_value,unemployment_raw_value,children_in_poverty_raw_value,income_inequality_raw_value,children_in_single-parent_households_raw_value,social_associations_raw_value,violent_crime_raw_value,injury_deaths_raw_value,air_pollution_-_particulate_matter_raw_value,drinking_water_violations_raw_value,severe_housing_problems_raw_value,driving_alone_to_work_raw_value,long_commute_-_driving_alone_raw_value,premature_age-adjusted_mortality_raw_value,child_mortality_raw_value,infant_mortality_raw_value,frequent_physical_distress_raw_value,frequent_mental_distress_raw_value,diabetes_prevalence_raw_value,hiv_prevalence_raw_value,food_insecurity_raw_value,limited_access_to_healthy_foods_raw_value,drug_overdose_deaths_raw_value,motor_vehicle_crash_deaths_raw_value,insufficient_sleep_raw_value,uninsured_adults_raw_value,uninsured_children_raw_value,health_care_costs_raw_value,other_primary_care_providers_raw_value,disconnected_youth_raw_value,median_household_income_raw_value,children_eligible_for_free_or_reduced_price_lunch_raw_value,residential_segregation_-_black/white_raw_value,residential_segregation_-_non-white/white_raw_value,homicides_raw_value,firearm_fatalities_raw_value,population_raw_value,%_below_18_years_of_age_raw_value,%_65_and_older_raw_value,%_non-hispanic_african_american_raw_value,%_american_indian_and_alaskan_native_raw_value,%_asian_raw_value,%_native_hawaiian/other_pacific_islander_raw_value,%_hispanic_raw_value,%_non-hispanic_white_raw_value,%_not_proficient_in_english_raw_value,%_females_raw_value,%_rural_raw_value,communicable_disease_raw_value,coronary_heart_disease_hospitalizations_raw_value,cerebrovascular_disease_hospitalizations_raw_value,self-inflicted_injury_hospitalizations_raw_value,cancer_incidence_raw_value,smoking_during_pregnancy_raw_value,drug_arrests_raw_value,alcohol-related_hospitalizations_raw_value,motor_vehicle_crash_occupancy_rate_raw_value,on-road_motor_vehicle_crash-related_er_visits_raw_value,off-road_motor_vehicle_crash-related_er_visits_raw_value,no_recent_dental_visit_raw_value,did_not_get_needed_health_care_raw_value,childhood_immunizations_raw_value,local_health_department_staffing_raw_value,reading_proficiency_raw_value,w-2_enrollment_raw_value,poverty_raw_value,older_adults_living_alone_raw_value,hate_crimes_raw_value,child_abuse_raw_value,injury_hospitalizations_raw_value,fall_fatalities_65+_raw_value,year_structure_built_raw_value,male_population_0-17_raw_value,male_population_18-44_raw_value,male_population_45-64_raw_value,male_population_65+_raw_value,total_male_population_raw_value,female_population_0-17_raw_value,female_population_18-44_raw_value,female_population_45-64_raw_value,female_population_65+_raw_value,total_female_population_raw_value,population_growth_raw_value
NY,Putnam County,4553.1,0.109183157,3.218649065,3.419295375,0.080809717,0.129926222,0.241,9.2,0.198,0.791445191,0.212366958,0.268292683,147.5,5.183809236,0.072996476,0.000482475,0.000545223,0.002726116,47.68,0.86451049,0.624711316,0.918412995,0.693664444,0.043396003,0.065,4.281138175,0.152008836,7.136610814,50.01463013,44.00117337,8.6,0,0.210465285,0.763218574,0.581,235.7,27.84868879,3.90625,0.090820559,0.098501651,0.076,149.8,0.055,0.054300061,17.77485629,7.316128477,0.32,0.08789774,0.032575758,10680.37,0.000464449,0.09,90497,0.166124661,35.07671676,20.24522455,,4.4,99042,0.209476788,0.152157671,0.025686073,0.003655015,0.024686497,0.000565417,0.134791301,0.801922417,0.028557283,0.501736637,0.205495938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Queens County,4437.2,0.173415895,3.844665831,3.457829343,0.081131467,0.130015307,0.238,8.2,0.28,0.954958081,0.154423305,0.175182482,525.4,20.27509368,0.158639359,0.000655588,0.000708805,0.001323985,44.92,0.853479854,0.557004215,0.708134,0.626773244,0.049819706,0.196,4.914028325,0.333107207,4.608930125,620.7422478,30.64249746,8.6,,0.330548528,0.315590191,0.575,229.3,39.14066614,4.487888277,0.115649696,0.10597638,0.112,844,0.131,0.000350682,7.100858787,4.47712122,0.397,0.19458431,0.042739473,10660.7,0.000517282,0.1373,60241,0.699377803,77.6896168,47.80848525,3.5,2.7,2339150,0.203913815,0.138407114,0.1786649,0.013248402,0.263137037,0.002195669,0.280457004,0.257605968,0.151334382,0.514617703,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Rensselaer County,6420.4,0.119924247,3.539488384,3.650853769,0.074752352,0.166175524,0.274,7.9,0.237,0.704708679,0.21008706,0.28,389.6,23.08446635,0.066533676,0.000500707,0.000443014,0.001416395,49.36,0.876760563,0.635094716,0.873251462,0.708004905,0.047313484,0.182,4.39288097,0.348575851,8.824965263,297.3645828,48.54927752,8.5,1,0.160491905,0.807546111,0.299,328.4,50.68774048,6.219821589,0.101217543,0.109092315,0.089,186.1,0.118,0.053954276,10.41757821,7.425518914,0.347,0.079417023,0.028710839,8687.26,0.000630202,0.0929,60117,0.401825597,60.9443784,46.92407914,2.9,6,160266,0.200990853,0.156115458,0.065659591,0.00317597,0.026218911,0.000374378,0.046703605,0.839117467,0.007264355,0.506202189,0.305120148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Richmond County,5541,0.141034019,3.668069134,3.433258715,0.081550905,0.16816609,0.282,8.7,0.29,0.985155633,0.170500475,0.180722892,296,16.23853723,0.079152244,0.000931797,0.000640596,0.001923896,43.82,0.864014801,0.624884224,0.79,0.675787701,0.057579459,0.183,5.225641417,0.281831242,4.225837191,620.9038576,44.46038432,10,0,0.245550088,0.564097085,0.483,286.7,36.39724043,4.528435539,0.106118779,0.105397203,0.095,470.3,0.103,0.012396048,17.31835788,5.276968036,0.372,0.095105395,0.035537266,11612.71,0.000868176,0.1397,71058,0.559974007,68.93239378,46.5590368,3.3,2.8,474558,0.220936113,0.150068063,0.097530755,0.006268991,0.086263428,0.001028325,0.182774287,0.620217128,0.046285259,0.515797858,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Rockland County,4135.3,0.14568805,3.284983029,3.56751801,0.062942431,0.135091448,0.224,8.5,0.256,0.94018679,0.171446936,0.222222222,230.9,13.9993477,0.088764566,0.000951011,0.001018289,0.002358628,39.21,0.88196886,0.654017094,0.860763158,0.643647728,0.045908236,0.23,5.145217858,0.177192745,9.942383578,135.3740802,33.04814241,9.4,1,0.259699975,0.706919651,0.404,210.8,31.93661982,4.480955937,0.10241768,0.109454356,0.103,275.2,0.095,0.049247803,9.579668853,5.260649443,0.37,0.11290684,0.04103386,11149.4,0.000441668,0.1098,84249,0.359096926,57.57678736,45.51343583,1.2,2.2,326037,0.276944028,0.150780433,0.114229367,0.005158924,0.067400326,0.001275929,0.174247095,0.630695289,0.079735496,0.510098547,0.007173864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,St. Lawrence County,6483,0.143532445,4.06303468,3.98688637,0.073685495,0.175912433,0.282,7.4,0.235,0.606919531,0.206246923,0.444444444,295.6,20.78272605,0.088836291,0.000529623,0.000360338,0.001666562,61.42,0.88951522,0.699172033,0.820901639,0.593161255,0.069391574,0.234,4.643115942,0.348809471,11.13105925,114.4192989,49.79473107,8.7,1,0.158699809,0.768620003,0.251,332.3,68.33712984,6.424483121,0.119178232,0.121319554,0.106,294.5,0.139,0.061297662,11.06558603,10.60831667,0.335,0.109016554,0.036151652,8439,0.000954895,0.1298,42811,0.507405731,57.32320647,28.30247397,1.7,4.8,111007,0.204293423,0.157809868,0.023376904,0.010278631,0.011566838,0.000837785,0.022989541,0.918906015,0.009967311,0.48928446,0.619917101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Saratoga County,4377.7,0.097593204,3.041461331,3.447401996,0.066534704,0.128715335,0.267,8.7,0.247,0.868683603,0.214831824,0.337209302,216.6,12.28767618,0.054210167,0.000715807,0.000614367,0.001396691,42.7,0.888946015,0.679953107,0.887517172,0.771726639,0.042117333,0.085,3.905250268,0.239230448,7.824969656,79.95465259,43.46853897,8.7,1,0.119375989,0.827670289,0.367,247.7,29.81670573,3.931764855,0.090365649,0.10114039,0.085,124.2,0.09,0.038777719,9.925411275,7.839060238,0.334,0.064952639,0.024570668,7966.57,0.000640887,0.0729,75029,0.22527739,41.96191613,33.92044455,1,6,226249,0.209768883,0.162855968,0.016123828,0.002567967,0.025622213,0.000371272,0.030873065,0.910249327,0.007800415,0.505659694,0.299617043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Schenectady County,6643,0.119463219,3.465264608,3.887137984,0.083397564,0.162821067,0.261,7.5,0.204,0.891996872,0.2047056,0.333333333,500.9,27.3413814,0.077177534,0.000757697,0.000789113,0.001895164,39.41,0.870119522,0.666336634,0.792957814,0.656289014,0.04763208,0.183,4.685710556,0.348842702,8.475936687,429.1771962,46.52937279,8.5,0,0.163882191,0.803071028,0.317,343.3,65.77360724,7.248611968,0.103438268,0.112032161,0.099,307.4,0.12,0.096055331,9.663454105,5.439637997,0.359,0.093849596,0.032543224,7739.76,0.000918476,0.0985,59432,0.429505717,60.49437685,51.50904574,4.7,6.4,154604,0.216818452,0.159795348,0.100068562,0.006713927,0.046201909,0.001843419,0.067229826,0.750989625,0.0149392,0.513259683,0.081563011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Schoharie County,5569.3,0.124551343,3.523587557,3.788209742,0.067317575,0.149376727,0.262,8.3,0.257,0.458945311,0.194961225,0.333333333,292,14.74304971,0.083449349,0.000253437,0.000287265,0.00092563,55.08,0.876889849,0.645533141,0.813411458,0.574941107,0.058396125,0.212,4.210048754,0.32012247,9.187100044,68.47254355,49.5555681,7.3,1,0.154446178,0.793698152,0.455,307.8,41.61291665,,0.103884337,0.112880389,0.098,127.4,0.111,0.029360119,,11.55853509,0.33,0.098281157,0.038473921,8008.94,0.000319183,0.1371,50588,0.471057429,42.96271569,29.78452134,,7.5,31330,0.18525375,0.191254389,0.01305458,0.002872646,0.008075327,0.000287265,0.031567188,0.933290776,0.002006777,0.502330035,0.828452777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,Schuyler County,5868.6,0.133043228,3.715928645,3.820278956,0.069767442,0.160923742,0.308,8.4,0.228,0.549528431,0.183584908,0.1,265.4,27.94802648,0.074373429,0.000811732,0.000219949,0.001484659,87.41,0.882075472,0.538961039,0.807044199,0.572355289,0.065598514,0.199,4.360701855,0.272521247,10.82309649,86.34180562,61.95652174,8.5,0,0.111906311,0.810340511,0.406,319.2,,,0.108685854,0.115751966,0.107,106.9,0.114,0.020725733,,11.6512999,0.337,0.087905181,0.034346103,9228.34,0.000494886,0.1391,49664,0.477674419,,14.05798179,,,18186,0.192785659,0.201198724,0.00934785,0.002969317,0.005498735,0.000274937,0.018970637,0.951556142,0.001370567,0.500054987,0.811535736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
