state,County,premature_death_raw_value,poor_or_fair_health_raw_value,poor_physical_health_days_raw_value,poor_mental_health_days_raw_value,low_birthweight_raw_value,adult_smoking_raw_value,adult_obesity_raw_value,physical_inactivity_raw_value,excessive_drinking_raw_value,motor_vehicle_crash_deaths_raw_value,sexually_transmitted_infections_raw_value,teen_births_raw_value,uninsured_raw_value,primary_care_physicians_raw_value,dentists_raw_value,preventable_hospital_stays_raw_value,diabetes_monitoring_raw_value,mammography_screening_raw_value,high_school_graduation_raw_value,some_college_raw_value,unemployment_raw_value,children_in_poverty_raw_value,inadequate_social_support_raw_value,children_in_single-parent_households_raw_value,violent_crime_raw_value,air_pollution_-_particulate_matter_raw_value,drinking_water_violations_raw_value,access_to_recreational_facilities_raw_value,limited_access_to_healthy_foods_raw_value,fast_food_restaurants_raw_value,premature_age-adjusted_mortality_raw_value,child_mortality_raw_value,infant_mortality_raw_value,diabetes_prevalence_raw_value,hiv_prevalence_raw_value,mental_health_providers_raw_value,health_care_costs_raw_value,uninsured_adults_raw_value,uninsured_children_raw_value,could_not_see_doctor_due_to_cost_raw_value,median_household_income_raw_value,high_housing_costs_raw_value,children_eligible_for_free_lunch_raw_value,homicides_raw_value,access_to_parks_raw_value,driving_alone_to_work_raw_value,population_raw_value,%_below_18_years_of_age_raw_value,%_65_and_older_raw_value,%_non-hispanic_african_american_raw_value,%_american_indian_and_alaskan_native_raw_value,%_asian_raw_value,%_native_hawaiian/other_pacific_islander_raw_value,%_hispanic_raw_value,%_non-hispanic_white_raw_value,%_not_proficient_in_english_raw_value,%_females_raw_value,%_rural_raw_value,communicable_disease_raw_value,coronary_heart_disease_hospitalizations_raw_value,cerebrovascular_disease_hospitalizations_raw_value,self-inflicted_injury_hospitalizations_raw_value,cancer_incidence_raw_value,smoking_during_pregnancy_raw_value,breastfeeding_raw_value,alcohol-related_hospitalizations_raw_value,motor_vehicle_crash_occupancy_rate_raw_value,on-road_motor_vehicle_crash-related_er_visits_raw_value,off-road_motor_vehicle_crash-related_er_visits_raw_value,drug_arrests_raw_value,no_recent_dental_visit_raw_value,did_not_get_needed_health_care_raw_value,childhood_immunizations_raw_value,local_health_department_staffing_raw_value,influenza_immunizations_65+_raw_value,dental_utilization_raw_value,cervical_cancer_screening_raw_value,colon_cancer_screening_raw_value,cholesterol_screening_raw_value,reading_proficiency_raw_value,w-2_enrollment_raw_value,poverty_raw_value,older_adults_living_alone_raw_value,hate_crimes_raw_value,child_abuse_raw_value,injury_hospitalizations_raw_value,fall_fatalities_65+_raw_value,year_structure_built_raw_value,lead_poisoned_children_raw_value,male_population_0-17_raw_value,male_population_18-44_raw_value,male_population_45-64_raw_value,male_population_65+_raw_value,total_male_population_raw_value,female_population_0-17_raw_value,female_population_18-44_raw_value,female_population_45-64_raw_value,female_population_65+_raw_value,total_female_population_raw_value,population_growth_raw_value
KY,Bath County,13080.87,0.275,5.1,5.3,0.094,0.339,0.333,0.355,0.146,29.70480847,302,83.64235682,0.187,8.60289E-05,8.60289E-05,93.87999988,0.891428571,0.50862069,0.813,0.474354677,0.122,0.38,0.265,0.33074205,,12.69,0,0,0.000696682,0.571428571,577.2,95.22985023,,0.133,,0.000516173,9796.01,0.232,0.077,0.201,29857,0.37970274,0.685365854,,,0.807072283,11742,0.247061829,0.149207971,0.014648271,0.002469767,0.00136263,0.001021972,0.013881792,0.958695282,0.000928247,0.50604667,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,Bell County,13418.28,0.331,7.2,6.2,0.099,0.277,0.358,0.333,0.104,30.63952598,435.7,70.37523726,0.199,0.000522648,0.000418119,252.0299997,0.785829308,0.474860335,0.762,0.370375541,0.132,0.505,0.252,0.382093934,129.3989879,13.14,0.007979804,6.968641115,0.125955415,0.710526316,626.7,102.7464928,1007.705987,0.151,55.2,,12833.72,0.248,0.061,0.249,24940,0.250188111,0.723506938,5.930230834,0.07,0.861885339,28725,0.218764143,0.159442994,0.023289817,0.001775457,0.002959095,0.000452567,0.007658834,0.949208007,0.001959987,0.513907746,0.624795232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,Boone County,6412.56,0.133,3.5,3.3,0.073,0.188,0.312,0.282,0.172,9.879204275,241.6,34.09998403,0.129,0.000586687,0.000636975,90.29999995,0.844594595,0.633053221,0.816,0.701246609,0.081,0.121,0.155,0.199546207,214.3820962,13.32,0,10.89561996,0.046329821,0.495327103,348.4,48.68141815,676.069472,0.094,79.8,0.000259819,10835.6,0.165,0.056,0.14,64055,0.262815764,0.253642638,2.309424376,0.2,0.858823928,121737,0.279413818,0.098597797,0.027485481,0.002727191,0.022072172,0.001035018,0.036907432,0.896604976,0.011210949,0.505014909,0.132723401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,Bourbon County,10287.03,0.185,3.3,,0.098,,0.351,0.367,0.062,25.82514939,185.1,53.16159251,0.206,0.000801122,0.000600841,89.59999991,0.855595668,0.576923077,0.788,0.490970431,0.09,0.288,0.191,0.338022165,166.533671,12.76,0.856496607,0,0.026153545,0.68,464.3,78.47240387,1097.178683,0.133,90.2,0.00015021,9452.49,0.254,0.088,0.1,40350,0.298752048,0.5218107,,,0.798412886,19998,0.239623962,0.154365437,0.060456046,0.003650365,0.00390039,0.00010001,0.071257126,0.849284929,0.02154322,0.51210121,0.447485614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,Boyd County,10005.58,0.247,5.6,5.4,0.108,0.248,0.358,0.336,0.083,16.78439861,304.8,56.36764117,0.173,0.00110858,0.00060468,98.64999986,0.860486049,0.645468998,0.828,0.6,0.09,0.299,0.187,0.35248296,267.7394458,12.71,0.654269506,8.062402999,0.109521218,0.635294118,490.1,49.66535014,652.9546197,0.145,110,0.000443432,11145.66,0.215,0.059,0.155,38783,0.235182624,0.470130592,3.472634196,0.06,0.82661776,49466,0.21356083,0.168337848,0.029454575,0.002526988,0.004669874,0.000121295,0.014737395,0.936299681,0.004949536,0.502648284,0.253179121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,Boyle County,7542.45,0.152,3.9,5.4,0.088,0.223,0.312,0.306,0.073,17.26642087,485.4,42.31779837,0.183,0.000948034,0.000702247,90.07999992,0.831353919,0.577030812,0.796,0.549764429,0.114,0.248,0.151,0.398285526,200.9894867,12.57,0.043541772,10.53370787,0.101249104,0.465116279,401.7,,,0.121,82.7,0.00059691,9896.86,0.225,0.075,0.138,39663,0.276200073,0.416196266,,0.17,0.790485662,28550,0.213274956,0.162802102,0.07380035,0.002661997,0.0082662,0.000315236,0.029422067,0.869352014,0.009232264,0.511908932,0.348199212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,Bracken County,9454.32,0.239,4.6,3.7,0.079,0.366,0.337,0.315,0.103,28.5671075,377,51.39500734,0.184,0.000117564,0.000235128,100.4899998,0.878048781,0.489130435,0.774,0.406018519,0.108,0.255,0.235,0.321260583,52.91705252,13.11,0.105462004,0,0.002179682,0.181818182,461.1,,,0.124,71.4,0.000117564,9222.71,0.23,0.076,0.184,41974,0.236807818,0.46957672,,,0.815254237,8513,0.251967579,0.139786209,0.004581229,0.002349348,0.000587337,0.000117467,0.011629273,0.970515682,0.01495564,0.499471397,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,Breathitt County,16736.04,0.34,6.6,4.9,0.094,0.309,0.398,0.345,0.057,48.62124054,50.4,52.75099263,0.179,0.000648182,0.000288081,209.9899998,0.862068966,0.370629371,0.681,0.346346905,0.104,0.472,0.248,0.460225443,,12.3,0.833033681,0,0.034425884,0.625,775.3,159.2235954,,0.158,,0.00014404,12082.22,0.221,0.062,0.251,26829,0.253669552,0.736389685,11.90724258,,0.756547042,13842,0.229880075,0.139864182,0.004479122,0.001444878,0.005273804,0.000939171,0.00686317,0.976231758,0.003026405,0.500072244,0.815030984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,Breckinridge County,9687.71,0.246,4.3,4.9,0.084,0.329,0.336,0.325,0.097,28.18530028,149.6,45.81766917,0.213,0.000298879,0.00014944,153.1199999,0.874626866,0.62745098,0.85,0.396035337,0.101,0.306,0.231,0.271499792,56.48943819,13.13,0,0,0.04184393,0.230769231,475.5,71.57098308,,0.126,36.3,4.98132E-05,10183.14,0.262,0.095,0.171,38028,0.247506317,0.502265372,,,0.787487726,20256,0.239237757,0.159113349,0.022314376,0.003751975,0.002517773,0.000148104,0.009133096,0.95092812,0.00127646,0.500493681,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,Bullitt County,6614.67,0.212,5.9,5.2,0.087,0.257,0.342,0.342,0.087,15.46259258,244.9,32.39083751,0.15,0.000201399,0.000308812,86.07999992,0.875466999,0.680995475,0.809,0.529604139,0.106,0.167,0.207,0.314802739,130.3624343,12.97,0,10.74128278,0.07158892,0.666666667,358.2,37.41114852,437.0830458,0.112,63.6,0.000107413,10710.64,0.187,0.062,0.177,52033,0.27348854,0.38802144,2.610567578,0.09,0.861538009,75109,0.245616371,0.115911542,0.008467694,0.003501578,0.005551931,0.00033285,0.014592126,0.958247347,0.001130697,0.505119227,0.304134878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
