state,County,premature_death_raw_value,poor_or_fair_health_raw_value,poor_physical_health_days_raw_value,poor_mental_health_days_raw_value,low_birthweight_raw_value,adult_smoking_raw_value,adult_obesity_raw_value,food_environment_index_raw_value,physical_inactivity_raw_value,access_to_exercise_opportunities_raw_value,excessive_drinking_raw_value,alcohol-impaired_driving_deaths_raw_value,sexually_transmitted_infections_raw_value,teen_births_raw_value,uninsured_raw_value,primary_care_physicians_raw_value,dentists_raw_value,mental_health_providers_raw_value,preventable_hospital_stays_raw_value,mammography_screening_raw_value,flu_vaccinations_raw_value,high_school_graduation_raw_value,some_college_raw_value,unemployment_raw_value,children_in_poverty_raw_value,income_inequality_raw_value,children_in_single-parent_households_raw_value,social_associations_raw_value,violent_crime_raw_value,injury_deaths_raw_value,air_pollution_-_particulate_matter_raw_value,drinking_water_violations_raw_value,severe_housing_problems_raw_value
CO,Pitkin County,3079.44541,0.105854297,2.936240943,3.25635276,0.098544233,0.122667728,0.142,8.5,0.136,0.926930254,0.201148022,0,296.3,3.839441536,0.122510437,0.000726663,0.000612813,0.00367688,1566,0.45,0.54,0.955223881,0.812757606,0.038458154,0.062,3.706857612,0.340725097,19.56400224,62.07149508,75.27666985,4,0,0.159210526
CO,Prowers County,8230.32404,0.174681106,3.846874392,3.994080873,0.070507309,0.150380811,0.338,7.7,0.214,0.553183013,0.169549796,0.307692308,522,38.62793572,0.141035024,0.00041425,0.000657678,0.001890825,5154,0.28,0.31,0.950310559,0.593360996,0.033192422,0.286,4.189452716,0.384743504,10.77050539,56.94297568,86.45916467,6.4,1,0.135852911
CO,Pueblo County,9771.179167,0.225151171,4.179389075,4.319314981,0.099876885,0.164281174,0.294,7.3,0.221,0.645027442,0.158569626,0.421487603,570.1,31.77405119,0.084312339,0.000642739,0.00067451,0.005121501,3511,0.41,0.53,0.846200241,0.630503768,0.049083149,0.229,4.910680555,0.40347428,8.469740201,629.9073019,109.0234819,6,1,0.180127186
CO,Rio Blanco County,6568.273311,0.125743115,3.27191833,3.66685395,0.077071291,0.141335578,0.259,8.2,0.189,0.94779478,0.197122881,0.142857143,140.2,13.54534747,0.09173426,0.001401869,0.000789141,0.002525253,2516,0.39,0.2,0.950617284,0.681467182,0.044498949,0.12,4.40277421,0.231744116,10.90342679,96.7405864,92.0838577,5.7,0,0.12244898
CO,Rio Grande County,9648.195131,0.172894628,3.798153925,3.863462228,0.117277487,0.141933816,0.275,8.4,0.212,0.783508596,0.160808704,0.076923077,530.9,32.83940729,0.136097341,0.001150341,0.000622222,0.000266667,5389,0.31,0.29,0.853333333,0.592942142,0.048378522,0.234,5.977073781,0.257444403,17.69754889,200.8558205,127.6670164,4.4,1,0.17139738
CO,Routt County,5682.857378,0.109599927,3.089386915,3.668637353,0.084516565,0.143547055,0.156,8.1,0.102,0.863796844,0.228894858,0.611111111,241.9,8.226888937,0.084615744,0.001229183,0.000971515,0.003069988,1358,0.47,0.57,0.92996109,0.77173913,0.026992209,0.073,4.103939394,0.182510333,14.67089611,159.3981127,69.58153986,3.9,1,0.191308956
CO,Saguache County,10483.03635,0.209740479,4.332545476,4.39374335,0.143167028,0.175601549,0.29,7.8,0.239,0.484282908,0.138602438,0.230769231,,34.99222395,0.16948815,0.000150921,0.000146135,0.000730674,1797,0.24,0.32,0.683333333,0.442131557,0.046454096,0.37,5.269723196,0.222379603,13.58285542,175.508576,136.2018263,4.1,0,0.16798419
CO,San Juan County,,0.150519065,3.707271219,3.908351467,,0.160198923,0.248,5.4,0.213,0.99713877,0.17150615,0,,,0.085766423,0.001398601,0,0,,0.36,0.55,,0.666666667,0.030828516,0.204,4.517834517,0.173913044,0,71.83908046,,4,0,0.157894737
CO,San Miguel County,3333.355765,0.119936155,3.168722486,3.57012305,0.090712743,0.143749448,0.188,8.3,0.152,0.821171355,0.203765532,0.545454546,338.9,,0.11819641,0.000753107,0.000610426,0.002930045,996,0.38,0.35,0.974025974,0.783858268,0.035144928,0.098,4.585317533,0.260780288,5.020710431,114.0034201,75.19927809,4.6,1,0.297546012
CO,Sedgwick County,5827.173333,0.146317368,3.579218447,3.864952365,0.060240964,0.1385823,0.269,7.9,0.264,0.625052543,0.163179177,0.5,,27.39726027,0.121071013,0.000426621,0.000434216,,2387,0.28,0.19,0.696629214,0.705617978,0.025538707,0.259,4.593989661,0.383877159,17.06484642,337.5527426,144.0555885,5.7,0,0.118811881
