state,County,premature_death_raw_value,poor_or_fair_health_raw_value,poor_physical_health_days_raw_value,poor_mental_health_days_raw_value,low_birthweight_raw_value,adult_smoking_raw_value,adult_obesity_raw_value,food_environment_index_raw_value,physical_inactivity_raw_value,access_to_exercise_opportunities_raw_value,excessive_drinking_raw_value,alcohol-impaired_driving_deaths_raw_value,sexually_transmitted_infections_raw_value,teen_births_raw_value,uninsured_raw_value,primary_care_physicians_raw_value,dentists_raw_value,mental_health_providers_raw_value,preventable_hospital_stays_raw_value,mammography_screening_raw_value,flu_vaccinations_raw_value,high_school_graduation_raw_value,some_college_raw_value,unemployment_raw_value,children_in_poverty_raw_value,income_inequality_raw_value,children_in_single-parent_households_raw_value,social_associations_raw_value,violent_crime_raw_value,injury_deaths_raw_value,air_pollution_-_particulate_matter_raw_value,drinking_water_violations_raw_value,severe_housing_problems_raw_value,driving_alone_to_work_raw_value,long_commute_-_driving_alone_raw_value,life_expectancy_raw_value,premature_age-adjusted_mortality_raw_value,child_mortality_raw_value,infant_mortality_raw_value,frequent_physical_distress_raw_value,frequent_mental_distress_raw_value,diabetes_prevalence_raw_value,hiv_prevalence_raw_value,food_insecurity_raw_value,limited_access_to_healthy_foods_raw_value,drug_overdose_deaths_raw_value,motor_vehicle_crash_deaths_raw_value,insufficient_sleep_raw_value,uninsured_adults_raw_value,uninsured_children_raw_value,other_primary_care_providers_raw_value,disconnected_youth_raw_value,median_household_income_raw_value,children_eligible_for_free_or_reduced_price_lunch_raw_value,residential_segregation_-_black/white_raw_value,residential_segregation_-_non-white/white_raw_value,homicides_raw_value,firearm_fatalities_raw_value,homeownership_raw_value,severe_housing_cost_burden_raw_value,population_raw_value,%_below_18_years_of_age_raw_value,%_65_and_older_raw_value,%_non-hispanic_african_american_raw_value,%_american_indian_and_alaskan_native_raw_value,%_asian_raw_value,%_native_hawaiian/other_pacific_islander_raw_value,%_hispanic_raw_value,%_non-hispanic_white_raw_value,%_not_proficient_in_english_raw_value,%_females_raw_value,%_rural_raw_value,communicable_disease_raw_value,self-inflicted_injury_hospitalizations_raw_value,cancer_incidence_raw_value,coronary_heart_disease_hospitalizations_raw_value,cerebrovascular_disease_hospitalizations_raw_value,smoking_during_pregnancy_raw_value,drug_arrests_raw_value,opioid_hospital_visits_raw_value,alcohol-related_hospitalizations_raw_value,motor_vehicle_crash_occupancy_rate_raw_value,on-road_motor_vehicle_crash-related_er_visits_raw_value,off-road_motor_vehicle_crash-related_er_visits_raw_value,childhood_immunizations_raw_value,reading_proficiency_raw_value,w-2_enrollment_raw_value,poverty_raw_value,older_adults_living_alone_raw_value,hate_crimes_raw_value,child_abuse_raw_value,injury_hospitalizations_raw_value,fall_fatalities_65+_raw_value,year_structure_built_raw_value,male_population_0-17_raw_value,male_population_18-44_raw_value,male_population_45-64_raw_value,male_population_65+_raw_value,total_male_population_raw_value,female_population_0-17_raw_value,female_population_18-44_raw_value,female_population_45-64_raw_value,female_population_65+_raw_value,total_female_population_raw_value,population_growth_raw_value
MN,Watonwan County,7370.692766,0.151619405,3.093377135,3.133141995,0.04953271,0.150695974,0.292,9.4,0.222,0.737579163,0.209266168,0.2,237.4,44.83798041,0.085027297,0.000275028,0.000738007,0.000645757,3314,0.53,0.47,0.852941177,0.511284722,0.044061008,0.157,4.082459282,0.401919386,30.2530253,172.5233815,72.83321195,7.5,0,0.093258427,0.759723737,0.251,80.05793066,328.9,,,0.098473404,0.099240146,0.097,,0.066,0.011588623,,14.22879909,0.310920368,0.096486888,0.058670628,0.000830258,,50678,0.560799556,,29.60889372,,,0.735151375,0.087565259,10840,0.242896679,0.201107011,0.00701107,0.013376384,0.012915129,0.000461255,0.248154982,0.723154982,0.057536946,0.504520295,0.59102667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,Wilkin County,6649.008705,0.115563397,2.980569023,2.960062689,0.062015504,0.144797599,0.296,8.6,0.226,0.629105839,0.233366834,,93.8,11.66558652,0.04385278,,0.000474383,0.002055661,5414,0.56,0.52,0.885057471,0.780162842,0.031337437,0.128,4.290444393,0.324827586,14.15539478,100.6581494,43.57298475,6.4,0,0.081081081,0.791191869,0.219,78.10505249,326.8,,,0.089383042,0.093652245,0.095,,0.085,0.060953956,,,0.275775413,0.048819743,0.033310673,0.000158128,,58118,0.418165468,,18.75743925,,,0.760168303,0.073791349,6324,0.227071474,0.185641999,0.007273877,0.018659077,0.003953194,0,0.028937381,0.931056294,0,0.484977862,0.501368613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,Winona County,5798.836677,0.119262796,2.832240124,3.086824033,0.061780739,0.14946346,0.296,8.5,0.21,0.963758963,0.244328973,0.35,465.8,7.133864876,0.047778345,0.000412185,0.000589704,0.001808425,4327,0.5,0.58,0.865296804,0.772136846,0.031145679,0.127,4.451471509,0.223634191,13.34694198,95.104566,61.16807497,8.6,1,0.156266387,0.766296389,0.217,80.11043579,274.9,61.82961908,6.543723974,0.088977556,0.098010677,0.084,31.5,0.103,0.040715079,8.513090514,8.378905268,0.29969934,0.053722027,0.029292192,0.000727301,,55577,0.369297748,45.91234769,27.77819892,,9.4,0.700124818,0.124108948,50873,0.181451851,0.163898335,0.018182533,0.00520905,0.026831522,0.000137598,0.029288621,0.9102864,0.007828111,0.50386256,0.345348905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,Wright County,4035.7941,0.103517445,2.649953119,2.938183212,0.05594573,0.143501818,0.3,9.3,0.181,0.87181235,0.250490761,0.309090909,188.9,11.11583352,0.034264755,0.000452659,0.00041702,0.001064891,6489,0.45,0.48,0.897397397,0.749172469,0.03504808,0.052,3.537444693,0.201328564,9.807619766,75.96927635,49.80694099,7.3,0,0.109797857,0.836281147,0.495,81.46533012,229.8,25.29235971,3.819223425,0.081400206,0.087073896,0.082,36.4,0.068,0.021683298,4.772106785,9.667057743,0.290987115,0.040560854,0.021952035,0.000476595,0.034596612,80805,0.203954949,53.13486024,20.94049369,,7.2,0.824321422,0.088042079,134286,0.28131004,0.123080589,0.012875505,0.00431914,0.013404227,0.000431914,0.029623341,0.924832075,0.005763807,0.495584052,0.325076183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,Yellow Medicine County,6884.632248,0.122978404,3.034617869,3.026683221,0.063183475,0.152360195,0.306,8.5,0.248,0.609886952,0.216224277,0.272727273,202.5,21.69720347,0.059409736,0.000603926,0.00050674,0.000608088,5474,0.44,0.38,0.93814433,0.597742664,0.03536015,0.13,3.95045719,0.307963044,30.19627579,120.9433582,84.11944962,6.5,0,0.090584029,0.750907624,0.201,79.69849565,345.3,,,0.092016256,0.095286719,0.102,,0.086,0.079248,,,0.2945344,0.066535504,0.043588659,0.000810783,,53596,0.411682893,,43.42878019,,,0.778927111,0.095776772,9867,0.235329888,0.199148677,0.005168744,0.039424344,0.00587818,0.000810783,0.048849701,0.892267153,0.006424671,0.496503497,0.808200805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,Mississippi,10376.16346,0.222106689,4.374735784,4.420219419,0.115444705,0.227406513,0.365,3.8,0.313,0.554734157,0.136770449,0.212278558,672.1,39.42562088,0.1397983,0.00052765,0.000467478,0.00142455,6135,0.38,0.39,0.832545632,0.59032818,0.050746008,0.276,5.334922381,0.442148898,12.55718992,279.4842887,84.9740593,9.9,0.097560976,0.162740118,0.850531443,0.316,74.81002752,499.4,76.18462951,8.965640392,0.142426905,0.144919208,0.141,374,0.201,0.106594058,11.79008649,23.52504315,0.360177925,0.178395552,0.046922203,0.001015717,0.09304022,43595,0.749865466,49.37948334,47.00271722,10.7,19.3,0.681141336,0.135481477,2984100,0.239123019,0.154659361,0.374108106,0.006091954,0.010896083,0.000598841,0.031629302,0.56685969,0.007950661,0.515472672,0.506546193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,Adams County,11098.73757,0.252347803,4.294513914,4.335378112,0.131847374,0.228640288,0.378,5.1,0.309,0.690776233,0.125201111,0.307692308,687.9,50.94185094,0.140841435,0.000832053,0.000451569,0.000709609,6164,0.44,0.44,0.8,0.440741235,0.072913878,0.444,6.068629289,0.614898296,14.72094214,303.7229546,96.61098823,9,0,0.144242936,0.871812749,0.129,74.45184441,533.9,76.0861295,9.216589862,0.14411658,0.143268691,0.145,384.4,0.245,0.133367792,11.76407679,17.60555433,0.410608125,0.178952358,0.042347697,0.001096668,0.140686922,31044,1,46.24398993,44.40814609,15.3,23.5,0.624641585,0.154241386,31003,0.205851047,0.184111215,0.533367739,0.004999516,0.005257556,0.00019353,0.089668742,0.359352321,0.066914122,0.489662291,0.372263678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,Alcorn County,11859.81923,0.206829365,4.240855779,4.409241872,0.114332248,0.191565746,0.36,7.5,0.348,0.278759749,0.135918121,0.153846154,326.3,50.63938619,0.14181999,0.000294875,0.000483741,0.002741199,8029,0.33,0.42,0.878178392,0.583857096,0.043988816,0.252,4.569127517,0.290999193,13.13532061,,98.07179069,10,0,0.150287065,0.859116976,0.216,73.32460363,556.3,85.23695875,10.17394158,0.131575441,0.13573015,0.137,125.5,0.153,0.04679154,15.19186431,24.15514505,0.337530857,0.179983335,0.04823932,0.001397474,0.091149974,39528,0.617114832,44.47090663,43.5119351,9.6,21.4,0.702078365,0.090489248,37210,0.232679387,0.178634776,0.12241333,0.003601183,0.003923676,0.000349368,0.032303144,0.828298844,0.008826628,0.511448535,0.663518364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,Amite County,9556.453363,0.233393564,4.44517496,4.371344575,0.120985011,0.206887508,0.413,6,0.341,0.407813571,0.11322365,0.307692308,556.7,46.78618277,0.172025052,0.000160539,0.000241022,8.03406E-05,6166,0.35,0.2,,0.433730715,0.0665336,0.316,5.277994304,0.343927355,16.85663831,,93.64038916,9,0,0.114343029,0.811568007,0.502,76.33029628,495.4,,,0.144002836,0.140707885,0.163,187.6,0.214,0.089349608,,32.57402166,0.365133681,0.210159363,0.069196429,0.000562385,,35422,1,20.61285235,20.37231987,12.4,15.9,0.858430116,0.093968532,12447,0.205993412,0.226239254,0.401863903,0.003374307,0.001365791,0.000160681,0.014059613,0.573150157,0.001432303,0.515224552,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,Attala County,13886.00452,0.223945187,4.211989013,4.115317036,0.133178923,0.187387811,0.395,5.9,0.336,0.339296667,0.121838227,0.083333333,756.2,43.78843788,0.138016143,0.000475335,0.000324728,0.000270607,6672,0.44,0.47,0.825,0.537794897,0.06140098,0.318,5.617024448,0.441490475,14.26006127,,95.85606843,9.9,0,0.162416107,0.800925235,0.298,71.91608801,594,151.7212514,12.19512195,0.133474783,0.134846663,0.17,205.7,0.21,0.115135723,,30.69850326,0.329494811,0.180005807,0.046772876,0.000595335,,35158,0.756901409,30.3226009,30.15248861,10.5,20,0.705464176,0.124242424,18477,0.256210424,0.184337284,0.42891162,0.003355523,0.004654435,0.000216485,0.021053201,0.536450723,0.001545861,0.526221789,0.643068902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
