state,County,premature_death_raw_value,poor_or_fair_health_raw_value,poor_physical_health_days_raw_value,poor_mental_health_days_raw_value,low_birthweight_raw_value,adult_smoking_raw_value,adult_obesity_raw_value,food_environment_index_raw_value,physical_inactivity_raw_value,access_to_exercise_opportunities_raw_value,excessive_drinking_raw_value,alcohol-impaired_driving_deaths_raw_value,sexually_transmitted_infections_raw_value,teen_births_raw_value,uninsured_raw_value,primary_care_physicians_raw_value,dentists_raw_value,mental_health_providers_raw_value,preventable_hospital_stays_raw_value,diabetes_monitoring_raw_value,mammography_screening_raw_value,high_school_graduation_raw_value,some_college_raw_value,unemployment_raw_value,children_in_poverty_raw_value,income_inequality_raw_value,children_in_single-parent_households_raw_value,social_associations_raw_value,violent_crime_raw_value,injury_deaths_raw_value,air_pollution_-_particulate_matter_raw_value,drinking_water_violations_raw_value,severe_housing_problems_raw_value,driving_alone_to_work_raw_value,long_commute_-_driving_alone_raw_value,premature_age-adjusted_mortality_raw_value,child_mortality_raw_value,infant_mortality_raw_value,diabetes_prevalence_raw_value,hiv_prevalence_raw_value,food_insecurity_raw_value,limited_access_to_healthy_foods_raw_value,drug_poisoning_deaths_raw_value,motor_vehicle_crash_deaths_raw_value,uninsured_adults_raw_value,uninsured_children_raw_value,health_care_costs_raw_value,other_primary_care_providers_raw_value,could_not_see_doctor_due_to_cost_raw_value,median_household_income_raw_value,children_eligible_for_free_lunch_raw_value,homicides_raw_value,population_raw_value,%_below_18_years_of_age_raw_value,%_65_and_older_raw_value,%_non-hispanic_african_american_raw_value,%_american_indian_and_alaskan_native_raw_value,%_asian_raw_value,%_native_hawaiian/other_pacific_islander_raw_value,%_hispanic_raw_value,%_non-hispanic_white_raw_value,%_not_proficient_in_english_raw_value,%_females_raw_value,%_rural_raw_value,communicable_disease_raw_value,coronary_heart_disease_hospitalizations_raw_value,cerebrovascular_disease_hospitalizations_raw_value,self-inflicted_injury_hospitalizations_raw_value,cancer_incidence_raw_value,smoking_during_pregnancy_raw_value,drug_arrests_raw_value,alcohol-related_hospitalizations_raw_value,motor_vehicle_crash_occupancy_rate_raw_value,on-road_motor_vehicle_crash-related_er_visits_raw_value,off-road_motor_vehicle_crash-related_er_visits_raw_value,no_recent_dental_visit_raw_value,did_not_get_needed_health_care_raw_value,childhood_immunizations_raw_value,local_health_department_staffing_raw_value,reading_proficiency_raw_value,w-2_enrollment_raw_value,poverty_raw_value,older_adults_living_alone_raw_value,hate_crimes_raw_value,child_abuse_raw_value,injury_hospitalizations_raw_value,fall_fatalities_65+_raw_value,year_structure_built_raw_value,male_population_0-17_raw_value,male_population_18-44_raw_value,male_population_45-64_raw_value,male_population_65+_raw_value,total_male_population_raw_value,female_population_0-17_raw_value,female_population_18-44_raw_value,female_population_45-64_raw_value,female_population_65+_raw_value,total_female_population_raw_value,population_growth_raw_value
MS,Tunica County,14033.09,0.308,3.7,3.4,0.133952255,0.27,0.412,2.3,0.409,0.487381704,,0.380952381,1890.2,119.4316436,0.181827877,9.54654E-05,,0.000378788,78.42,0.852112676,0.548387097,0.575,0.552486188,0.144893667,0.482,4.220065937,0.661976335,6.682577566,533.3664103,80.14463311,12.38,0,0.251879699,0.795946254,0.225,713.8,101.4198783,14.5,0.165,709.2,0.312,0.196036058,,26.5854923,0.248523544,0.049401657,11435.45,0.000568182,0.241,30033,0.940311804,19.6,10560,0.297916667,0.098863636,0.747253788,0.002083333,0.007859849,0.001041667,0.023863636,0.210890152,0.014986656,0.521022727,0.66023381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,Union County,8462.56,0.231,3.9,3.6,0.117756315,0.304,0.337,6.6,0.333,0.652834083,0.107,0.214285714,470.6,68.34945091,0.225835866,0.000547166,0.000288247,0.000144123,85.72,0.884696017,0.623728814,0.84942623,0.476703512,0.073873316,0.272,4.345502336,0.307703617,16.77974757,35.46532958,83.89200009,12.28,0,0.146594274,0.80824872,0.333,415.9,85.87069305,10.1,0.126,127.1,0.18,0.062664705,,27.46454697,0.282163833,0.09602557,9818.81,0.000540463,0.191,40148,0.535136243,5.4,27754,0.252720329,0.154968653,0.148230886,0.002666282,0.002522159,0.000756648,0.04575917,0.790444621,0.013914001,0.511673993,0.755583401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,Walthall County,11390.88,0.212,4.9,3.8,0.115229111,0.201,0.394,4.9,0.343,0.05886162,0.093,0.166666667,430.5,60.18269747,0.231285989,0.000463576,0.000200924,6.69748E-05,89.9,0.830882353,0.438356164,0.775,0.509486607,0.107782175,0.426,6.862152358,0.317266004,11.25827815,71.22968335,114.173024,11.42,0,0.162724693,0.79584121,0.531,504.8,132.0588605,,0.161,214.3,0.223,0.135680743,12.0164533,33.27633221,0.291120483,0.094670051,11545.26,0.000267899,0.218,30289,0.743162393,16.9,14931,0.249748845,0.175005023,0.434063358,0.004487308,0.001808318,0.000401849,0.017279486,0.531980443,0.005330341,0.517848771,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,Warren County,10571.47,0.191,3.4,4.1,0.124592834,0.258,0.369,5,0.351,0.762450536,0.154,0.295081967,777.8,69.00247321,0.180787925,0.000686299,0.000456261,0.003525654,82.88,0.813888889,0.596982759,0.56,0.5700126,0.097565716,0.413,5.605558105,0.518726592,12.27019383,389.930223,82.5736557,11.76,0.101051482,0.156636005,0.873579618,0.17,517.1,74.30464906,8.8,0.133,396.8,0.226,0.115780453,9.97620382,21.12607868,0.22943038,0.064531664,12203.5,0.000394044,0.186,41883,0.684349827,12.2,48218,0.250425152,0.141420217,0.47629516,0.002944958,0.00918744,0.000165913,0.019660708,0.484818947,0.004739966,0.523165623,0.408935272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,Washington County,14180.18,0.208,3.6,3.6,0.136341738,0.237,0.396,3.4,0.372,0.727985607,0.109,0.097222222,1362.8,88.8331941,0.206915005,0.000422111,0.000362261,0.00068427,76.26,0.737226277,0.632495164,0.554687131,0.505627415,0.138494772,0.511,5.328411448,0.680652174,16.08040201,295.4595966,92.51491607,12.19,0.420047138,0.236716259,0.804973822,0.167,646.5,139.4995674,12.8,0.146,478.3,0.31,0.094206838,3.310454415,29.51821853,0.27293027,0.064439141,10073.31,0.000664144,0.224,28948,0.890706397,22.4,49688,0.266704234,0.131822573,0.709386572,0.001811303,0.006963452,0.000382386,0.013282885,0.263866527,0.008007708,0.529161971,0.175235153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,Wayne County,11884.59,0.283,4.9,4.3,0.14100786,0.182,0.376,6.2,0.348,0.413891165,0.082,0.15,667.9,77.93463547,0.203405325,0.000338803,0.000146064,4.86879E-05,103.63,0.633116883,0.419354839,0.76,0.447695391,0.10775428,0.361,5.588179148,0.365955826,11.1320846,,97.37473849,12.52,0.397058489,0.16064019,0.775615031,0.351,555.8,74.4809608,12.2,0.147,129.7,0.217,0.015886583,15.74156458,28.06104989,0.257490865,0.078620941,10542.99,0.000292127,0.169,31688,0.737904341,13.3,20539,0.250888554,0.154048396,0.383903793,0.002823896,0.002239642,0.000292127,0.014022104,0.589269195,0.001506963,0.518623107,0.796404299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,Webster County,10008.96,0.249,4.2,5.1,0.10543131,0.229,0.361,6,0.317,0.133131766,0.099,0,348.6,54.72197705,0.206526918,0.000597669,0.000400521,0.00010013,130.64,0.870292887,0.535714286,0.925,0.563110922,0.120622568,0.312,5.952340997,0.39533933,17.93007272,,88.27164126,12.36,0.061112725,0.139240506,0.804153447,0.431,510.7,119.1658391,,0.146,157.2,0.205,0.059474168,,30.97021229,0.258907759,0.077932406,10522.54,0.000500651,0.275,34930,0.49137931,,9987,0.237108241,0.164814259,0.195954741,0.002202864,0.002503254,0.00020026,0.012916792,0.777811155,0.003478811,0.511364774,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,Wilkinson County,12275.52,0.286,4.8,4,0.148504274,0.226,0.399,5,0.373,0.1186475,0.131,0.3,551.3,75.56427871,0.197867804,0.000318066,0.000319795,,63.15,0.891891892,0.550561798,0.575,0.387247278,0.111017188,0.421,6.122088288,0.577171904,13.78286684,,85.63738684,10.49,0,0.148843931,0.806131929,0.512,573.8,113.1605749,,0.186,248.9,0.245,0.079326575,,40.29240776,0.24769169,0.080622996,10614.38,0.000426394,0.217,26373,0.990740741,16,9381,0.217567424,0.148065238,0.696834026,0.001492378,0.001812174,0,0.006609104,0.288455389,0.004126701,0.467753971,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,Winston County,10671.73,0.248,4.2,4.8,0.136311569,0.203,0.354,5.1,0.36,0.540264611,0.143,0.388888889,667.4,56.85257242,0.203978797,0.000315308,0.000212902,0.000958058,46.53,0.887878788,0.649746193,0.725,0.555253007,0.117729699,0.415,5.228580563,0.532924614,16.29092438,109.4148909,99.11423176,12.55,0,0.140136054,0.801560919,0.308,482.2,74.07015502,11.2,0.163,127.6,0.237,0.084857862,10.37090812,38.52051588,0.260425374,0.073114201,8747.35,0.000372578,0.221,30961,0.763822776,,18788,0.237864594,0.175218224,0.455663189,0.010964445,0.002608048,0.000532255,0.01091122,0.512720886,0.001464789,0.512295082,0.759141577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,Yalobusha County,13875.56,0.26,5.6,4.9,0.096484056,0.224,0.352,5.5,0.366,0.524136299,0.117,0.36,701.6,84.61025983,0.195594454,0.000241916,0.000161642,8.08211E-05,98.67,0.811827957,0.515837104,0.624404762,0.522561863,0.092502258,0.394,4.984719235,0.434590554,16.93411822,,120.0347469,12.25,0,0.13093981,0.863958736,0.39,638.8,91.32420091,,0.164,237.5,0.203,0.120672962,,45.89877641,0.24803962,0.066930432,10729.26,0.000323285,0.225,32660,0.713972603,19.2,12373,0.23195668,0.179665401,0.37694981,0.002586277,0.002020529,0,0.016406692,0.591529944,0,0.518063525,0.793185045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
