state,County,premature_death_raw_value,poor_or_fair_health_raw_value,poor_physical_health_days_raw_value,poor_mental_health_days_raw_value,low_birthweight_raw_value,adult_smoking_raw_value,adult_obesity_raw_value,food_environment_index_raw_value,physical_inactivity_raw_value,access_to_exercise_opportunities_raw_value,excessive_drinking_raw_value,alcohol-impaired_driving_deaths_raw_value,sexually_transmitted_infections_raw_value,teen_births_raw_value,uninsured_raw_value,primary_care_physicians_raw_value,dentists_raw_value,mental_health_providers_raw_value,preventable_hospital_stays_raw_value,mammography_screening_raw_value,flu_vaccinations_raw_value,high_school_completion_raw_value,some_college_raw_value,unemployment_raw_value,children_in_poverty_raw_value,income_inequality_raw_value,children_in_single-parent_households_raw_value,social_associations_raw_value,injury_deaths_raw_value,air_pollution_-_particulate_matter_raw_value,drinking_water_violations_raw_value,severe_housing_problems_raw_value,driving_alone_to_work_raw_value,long_commute_-_driving_alone_raw_value,life_expectancy_raw_value,premature_age-adjusted_mortality_raw_value,child_mortality_raw_value,infant_mortality_raw_value,frequent_physical_distress_raw_value,frequent_mental_distress_raw_value,diabetes_prevalence_raw_value,hiv_prevalence_raw_value,food_insecurity_raw_value,limited_access_to_healthy_foods_raw_value,drug_overdose_deaths_raw_value,insufficient_sleep_raw_value,uninsured_adults_raw_value,uninsured_children_raw_value,other_primary_care_providers_raw_value,high_school_graduation_raw_value,disconnected_youth_raw_value,reading_scores_raw_value,math_scores_raw_value,school_segregation_raw_value,school_funding_adequacy_raw_value,gender_pay_gap_raw_value,median_household_income_raw_value,living_wage_raw_value,children_eligible_for_free_or_reduced_price_lunch_raw_value,residential_segregation_-_black/white_raw_value,child_care_cost_burden_raw_value,child_care_centers_raw_value,homicides_raw_value,suicides_raw_value,firearm_fatalities_raw_value,motor_vehicle_crash_deaths_raw_value,juvenile_arrests_raw_value,voter_turnout_raw_value,census_participation_raw_value,traffic_volume_raw_value,homeownership_raw_value,severe_housing_cost_burden_raw_value,broadband_access_raw_value,population_raw_value,%_below_18_years_of_age_raw_value,%_65_and_older_raw_value,%_non-hispanic_black_raw_value,%_american_indian_or_alaska_native_raw_value,%_asian_raw_value,%_native_hawaiian_or_other_pacific_islander_raw_value,%_hispanic_raw_value,%_non-hispanic_white_raw_value,%_not_proficient_in_english_raw_value,%_female_raw_value,%_rural_raw_value
US,United States,7281.935564,0.12,3,4.4,0.081906553,0.16,0.32,7,0.22,0.842386305,0.19,0.26555079,481.3,19.30057259,0.104449673,0.000763761,0.000724681,0.002957013,2809,0.37,0.51,0.888740403,0.672532598,0.053529131,0.169,4.891374929,0.251296721,9.129696365,75.89951227,7.4,,0.169672182,0.732358592,0.365,78.52889465,358.7460227,48.06565984,5.666327649,0.09,0.14,0.09,379.7,0.118,0.061001965,23.33212318,0.33,0.123766561,0.053954267,0.00123187,0.87,0.068517185,3.0534,3.003,0.2454,1062,0.810044461,69717,,0.530854768,63,0.265935707,6.863866828,5.865883882,13.81828299,12.43033023,11.59131126,23.812,0.679095215,0.652,505.31,0.646331101,0.14275749,0.870006959,331893745,0.221656582,0.16827058,0.126120292,0.013159453,0.06131626,0.002600359,0.188756326,0.593061587,0.041044039,0.504706719,0.193
AL,Alabama,10350.07146,0.189,3.482416141,5.073277279,0.1043276,0.195,0.393,5.3,0.278,0.609266723,0.161416269,0.258869637,552.2,27.5988893,0.118227157,0.000657925,0.000486917,0.001254197,3599,0.36,0.44,0.874027002,0.615008274,0.034390283,0.227,5.176676331,0.309092192,11.9109253,86.9057184,9.3,0.134328358,0.131567888,0.837824933,0.35,74.83594896,499.8685504,66.77517633,8.06114528,0.110773968,0.164842962,0.13,341.6,0.145,0.087605485,17.48162866,0.392430096,0.14910001,0.03626804,0.001086138,0.907108163,0.082369069,2.885602535,2.72218766,0.281741266,-3868.511,0.741897099,53990,,0.53338294,57.5535278,0.272221818,5.509231686,11.10688545,16.20066965,22.29389952,20.20551485,,0.626360004,,213.6928266,0.69394787,0.119442481,0.820457145,5039877,0.222674482,0.176356883,0.265119962,0.00714442,0.015504347,0.00108832,0.047851962,0.648770992,0.010275959,0.514254217,0.409631829
AL,Autauga County,8027.394727,0.169,3.432211196,4.797351263,0.097381519,0.183,0.373,6.6,0.264,0.555377944,0.166562602,0.321428571,563.8,22.97694569,0.10559421,0.000445276,0.000321516,0.00035536,4372,0.38,0.42,0.895844903,0.596125972,0.028169014,0.161,4.794399967,0.267661764,12.64582777,68.57306981,10,0,0.144426268,0.864010885,0.416,76.58564973,427.0733259,51.49625222,6.877579092,0.107,0.162,0.106,242.5,0.145,0.13020998,8.352474421,0.375,0.131588319,0.03843278,0.000473813,0.87,,3.12696818,2.91727955,0.052838525,-2077.142,0.684510606,66444,,0.412506979,32.70713101,0.203509723,5.726341169,5.908389142,17.7372965,17.59204409,19.00959985,8.064516129,0.661820782,0.688,151.9301703,0.742450586,0.127533177,0.854639458,59095,0.234063796,0.160487351,0.207310263,0.004585836,0.012031475,0.001184533,0.033268466,0.724545224,0.002312412,0.513782892,0.420021623
AL,Baldwin County,8118.358206,0.149,3.276176952,4.753749711,0.083857312,0.169,0.326,7.5,0.232,0.657358468,0.18965166,0.322033898,352.1,23.73432001,0.108748808,0.000654202,0.000476401,0.00104474,2864,0.39,0.47,0.910141563,0.661050112,0.029629779,0.164,4.300709801,0.186991704,9.594961773,74.83507888,7.6,1,0.12238972,0.81401851,0.376,77.72472918,381.7020314,51.16978345,5.27306968,0.099,0.161,0.097,176.1,0.124,0.079367794,17.5976783,0.351,0.136088353,0.037613515,0.000743855,0.884522075,0.078527146,3.192380762,3.037911538,0.091502084,343.0381,0.740877424,65658,,0.463739858,38.48276625,0.211748759,6.231823847,3.276377851,19.64588301,14.01440278,16.84994323,25.89285714,0.652909486,0.564,133.3772605,0.771212295,0.109629418,0.878564056,239294,0.212182504,0.214698237,0.083679491,0.008002708,0.011224686,0.000685349,0.048417428,0.831487626,0.007596608,0.513477145,0.422790991
AL,Barbour County,12876.76032,0.275,4.605431863,4.954854565,0.119146722,0.259,0.464,5.8,0.357,0.548428022,0.134287727,0.375,627.9,34.70031546,0.143682754,0.000325349,0.000320462,0.000240346,3559,0.41,0.4,0.756710197,0.386269276,0.057216055,0.351,5.18059721,0.540771716,9.353776079,82.14305652,9.4,1,0.16211878,0.831225623,0.365,72.86721012,589.5660946,82.70493797,,0.149,0.18,0.156,456.5,0.195,0.104331717,,0.439,0.186580645,0.037324087,0.000600865,0.852960725,,2.389161313,2.00862944,0.0321364,-13560.45,0.735992557,38649,,0.586929023,20.6345609,0.279231028,5.303030303,11.18774718,14.26705236,25.5201729,27.96936795,23.75,0.540215717,0.545,100.06441,0.622139085,0.102180163,0.646126761,24964,0.205495914,0.199767665,0.473962506,0.007250441,0.004606634,0.002323346,0.049591412,0.453052395,0.01382681,0.467032527,0.677896347
AL,Bibb County,11191.47432,0.216,4.012182078,5.364779234,0.100330761,0.228,0.384,7.4,0.316,0.182119948,0.159162839,0.214285714,549.3,34.16687299,0.130078779,0.000632454,0.00026694,0.000400409,4856,0.31,0.34,0.805380831,0.368667917,0.034813084,0.29,5.034985269,0.29443958,9.035056017,103.3490436,9.8,0,0.113207547,0.869652239,0.551,73.60936309,567.508146,82.23233375,,0.127,0.174,0.122,215.9,0.164,0.004458662,23.90557299,0.4,0.162581837,0.038878843,0.001468168,0.85,,2.688775131,2.56336673,0.087777258,-2659.841,0.824992364,48454,,0.482194418,41.43856631,0.256800264,5.016722408,9.534100299,17.42273562,17.81880062,26.05987415,,0.545635485,0.56,27.84898324,0.787801779,0.094484696,0.746011577,22477,0.201183432,0.16737109,0.213284691,0.005027361,0.002758375,0.001290208,0.030876007,0.735640877,0.004430618,0.460159274,0.683526075
AL,Blount County,10787.01454,0.184,3.866048076,5.377579831,0.078598889,0.218,0.327,7.8,0.285,0.41353536,0.163106881,0.150537634,290.5,29.50979595,0.132546723,0.000207329,0.000169374,0.000203249,3010,0.32,0.42,0.836480771,0.567788835,0.023799101,0.167,4.803717903,0.221799283,6.7381952,104.7493276,9.6,0,0.098824658,0.864202693,0.595,74.1714626,532.8364817,71.17304415,6.721595837,0.119,0.174,0.109,76.2,0.138,0.02512206,17.86280216,0.373,0.167373134,0.044660624,0.000338748,0.954908676,0.108271211,2.901714404,2.781496533,0.106603559,-889.388335,0.861839849,56894,,0.508161045,54.72297414,0.242134496,4.903374676,7.166616418,20.51706131,20.39673376,30.6434633,6.451612903,0.641879944,0.667,43.7276386,0.791784038,0.082561959,0.809577465,59041,0.230534713,0.187259701,0.016327637,0.006605579,0.004031097,0.001236429,0.09867719,0.863298386,0.017269069,0.501922393,0.89951502
AL,Bullock County,11406.35109,0.297,4.697557553,5.140206364,0.150622877,0.255,0.483,4.3,0.396,0.02780728,0.127727027,0.347826087,782.1,40.34427111,0.123675471,0.000300722,0.000193798,0.000193798,3047,0.35,0.32,0.776065145,0.355193483,0.039947894,0.417,6.274395038,0.676662321,7.016840417,98.25885312,9.3,0,0.129261364,0.838658147,0.494,73.81468226,556.1102965,,,0.153,0.177,0.181,638.3,0.16,0.323391904,,0.46,0.16389762,0.028542304,0.000678295,0.825,,2.110535605,1.96826778,0.01131172,-15766.85,0.674738457,32027,,0.762900976,32.98459492,0.422206264,5.376344086,15.2047107,,25.54730181,49.76087137,12.22222222,0.590653009,0.488,42.90257602,0.649312665,0.185370742,0.594325826,10320,0.213275194,0.175968992,0.682364341,0.009399225,0.003003876,0.007655039,0.090697674,0.212887597,0.013227513,0.446027132,0.513743815
AL,Butler County,12717.03016,0.227,4.185284764,5.217472194,0.128285357,0.223,0.454,6.8,0.323,0.450055115,0.137477207,0.351851852,791.9,38.78252332,0.134850544,0.000205086,0.000370684,0.000847278,4201,0.33,0.34,0.855648536,0.411050921,0.053206003,0.342,5.335266123,0.332187858,9.228876128,105.6320146,9.1,0,0.116833205,0.865917302,0.347,73.47327905,606.5127483,80.17868392,,0.13,0.176,0.138,340.4,0.163,0.069182869,,0.409,0.171751096,0.037423022,0.000953188,0.84,,2.526134007,2.118341767,0.114618474,-9255.564,0.828401453,39442,,0.785400473,27.48824395,0.342832514,4.599816007,19.43774522,13.63356792,26.40800366,38.15557395,,0.629177719,0.558,59.20618058,0.723932017,0.087013843,0.763435921,18884,0.225640754,0.212402034,0.446674433,0.0043423,0.014244863,0.000423639,0.017316247,0.506248676,0.000663203,0.53373226,0.712321574
AL,Calhoun County,11826.11499,0.196,3.822568477,4.896887467,0.094372108,0.21,0.374,6,0.281,0.64796764,0.161882426,0.142857143,449.8,30.48733838,0.129250009,0.000599283,0.000655331,0.001491739,3722,0.3,0.39,0.852148562,0.550325901,0.041328765,0.252,4.819868075,0.30135467,13.39572923,92.51958156,9.7,0,0.118932855,0.849282593,0.3,72.82500707,587.1190918,57.89740985,7.931188561,0.12,0.171,0.123,254.5,0.161,0.15398073,19.33493677,0.381,0.164618335,0.031747977,0.000827786,0.91198419,0.081147415,2.945480411,2.786958409,0.198083756,-4113.42686,0.758000647,48166,,0.567198446,44.51769132,0.224058465,5.509231686,10.34621167,21.54905198,26.10874555,21.93895486,31.73913044,0.578563323,0.636,154.4888509,0.709809234,0.113345133,0.815690259,115972,0.216664367,0.18462215,0.213034181,0.005371986,0.008760735,0.001103715,0.04238092,0.711137171,0.006462551,0.516357397,0.336968256
