state,County,premature_death_raw_value,poor_or_fair_health_raw_value,poor_physical_health_days_raw_value,poor_mental_health_days_raw_value,low_birthweight_raw_value,adult_smoking_raw_value,adult_obesity_raw_value,food_environment_index_raw_value,physical_inactivity_raw_value,access_to_exercise_opportunities_raw_value,excessive_drinking_raw_value,alcohol-impaired_driving_deaths_raw_value,sexually_transmitted_infections_raw_value,teen_births_raw_value,uninsured_raw_value,primary_care_physicians_raw_value,dentists_raw_value,mental_health_providers_raw_value,preventable_hospital_stays_raw_value,mammography_screening_raw_value,flu_vaccinations_raw_value,high_school_completion_raw_value,some_college_raw_value,unemployment_raw_value,children_in_poverty_raw_value,income_inequality_raw_value,children_in_single-parent_households_raw_value,social_associations_raw_value,violent_crime_raw_value,injury_deaths_raw_value,air_pollution_-_particulate_matter_raw_value,drinking_water_violations_raw_value,severe_housing_problems_raw_value,driving_alone_to_work_raw_value,long_commute_-_driving_alone_raw_value,life_expectancy_raw_value,premature_age-adjusted_mortality_raw_value,child_mortality_raw_value,infant_mortality_raw_value,frequent_physical_distress_raw_value,frequent_mental_distress_raw_value,diabetes_prevalence_raw_value,hiv_prevalence_raw_value,food_insecurity_raw_value,limited_access_to_healthy_foods_raw_value,drug_overdose_deaths_raw_value,motor_vehicle_crash_deaths_raw_value,insufficient_sleep_raw_value,uninsured_adults_raw_value,uninsured_children_raw_value,other_primary_care_providers_raw_value,high_school_graduation_raw_value,disconnected_youth_raw_value,reading_scores_raw_value,math_scores_raw_value,median_household_income_raw_value,children_eligible_for_free_or_reduced_price_lunch_raw_value,residential_segregation_-_black/white_raw_value,residential_segregation_-_non-white/white_raw_value,homicides_raw_value,suicides_raw_value,firearm_fatalities_raw_value,juvenile_arrests_raw_value,traffic_volume_raw_value,homeownership_raw_value,severe_housing_cost_burden_raw_value,broadband_access_raw_value,population_raw_value,%_below_18_years_of_age_raw_value,%_65_and_older_raw_value,%_non-hispanic_black_raw_value,%_american_indian_&_alaska_native_raw_value,%_asian_raw_value,%_native_hawaiian/other_pacific_islander_raw_value,%_hispanic_raw_value,%_non-hispanic_white_raw_value,%_not_proficient_in_english_raw_value,%_females_raw_value,%_rural_raw_value
TX,Johnson County,7765.930957,0.196917329,4.260763323,4.467805311,0.069470086,0.191471989,0.396,7.6,0.292,0.705692554,0.205208381,0.204724409,329.9,32.63825929,0.189845262,0.000437673,0.000392454,0.000762156,5954,0.38,0.48,0.856907171,0.517546316,0.032174844,0.159,3.752023833,0.226045636,7.411254603,186.779531,61.71343718,8.8,1,0.12341116,0.877173028,0.562,77.10156147,395.9731807,60.7195551,6.638086019,0.128240386,0.144180076,0.128,205.4,0.128,0.074424402,11.07916941,17.04487149,0.354987246,0.224233114,0.116521105,0.000585836,0.942675854,0.177439533,2.896867425,3.093141795,66538,0.523650014,36.43390597,28.4601538,2.956763422,14.53657184,11.93683504,11.59340659,134.7310207,0.733414762,0.088657432,0.855819229,175817,0.259332147,0.143052151,0.037738103,0.010021784,0.009942156,0.005022268,0.226161293,0.700666033,0.030768837,0.500065409,0.378741702
TX,Jones County,8177.215358,0.24629636,4.580623337,4.527171424,0.071861472,0.213908442,0.293,6.7,0.25,0.436986437,0.197630844,0.21875,100.1,42.26675016,0.191123653,0.000353232,9.95867E-05,4.97934E-05,6024,0.32,0.31,0.783548606,0.355097195,0.042523527,0.22,4.187610012,0.274231679,11.6061967,269.08085,87.12022591,6.7,1,0.102928128,0.785078852,0.325,78.22661751,378.7764016,129.1433491,,0.145307141,0.147813017,0.078,195.2,0.169,0.087481292,,37.23408064,0.382297046,0.226236198,0.107765898,0.00044814,0.951502732,0.196052632,2.778962805,2.700713163,51094,0.630499627,43.32672482,28.42979836,,19.26875501,14.0193467,,27.28604346,0.745962079,0.080681818,0.768433989,20083,0.173380471,0.158741224,0.119653438,0.01409152,0.008116317,4.97934E-05,0.28013743,0.579993029,0.014368871,0.372504108,0.851499852
TX,Karnes County,7675.208148,0.262828175,4.506060983,4.322979271,0.083401472,0.18942288,0.268,7,0.194,0.508364814,0.189737763,0.178571429,237,39.22237381,0.18802361,0.000255591,0.000576886,0.000128197,4638,0.29,0.41,0.757411391,0.357128494,0.02490608,0.27,5.893435883,0.299438759,10.22364217,261.589404,63.9127656,7.6,0,0.134727062,0.825929457,0.28,76.46551916,436.828133,,,0.144106447,0.141092504,0.058,445.6,0.143,0.106561459,,24.37789488,0.374302306,0.215128383,0.132086331,0.000384591,0.917763158,,2.708845161,2.930385524,54843,0.635589785,36.32232263,21.26397978,,,,31.53846154,70.15403729,0.744978982,0.078483458,0.682624942,15601,0.212742773,0.141721685,0.083456189,0.010704442,0.005127876,0.000384591,0.564258701,0.34151657,0.084193262,0.414396513,0.383904479
TX,Kaufman County,7756.768902,0.198576868,4.182550909,4.479913919,0.083572235,0.184682108,0.397,7.7,0.313,0.587208515,0.195792289,0.295454546,401.2,26.93010586,0.177758794,0.000287665,0.00039661,0.000918078,4732,0.37,0.52,0.857671631,0.586601741,0.032695017,0.138,4.052441514,0.224748579,7.852466919,234.1374105,66.21566975,8.8,1,0.13100616,0.81875389,0.587,76.59203421,408.7329148,40.65794542,5.531269516,0.127545423,0.142107554,0.129,252,0.138,0.039994749,14.70364418,18.67929085,0.361868776,0.216094761,0.099510121,0.000514124,0.964972376,0.078132016,2.864916654,3.065647114,75009,0.513157012,35.54399762,24.93630631,4.997007744,16.23637487,15.46643381,9.305555556,103.7189514,0.766092332,0.109510087,0.810574773,136154,0.279139798,0.118343934,0.133268211,0.010135582,0.014887554,0.000940112,0.232552845,0.598072771,0.025633886,0.507028806,0.488176101
TX,Kendall County,5139.830781,0.144820736,3.356085674,3.832818413,0.07283237,0.133922352,0.335,8.4,0.255,0.761179288,0.216741126,0.379310345,145.4,12.07895512,0.154029851,0.000832585,0.000801164,0.001707744,2374,0.48,0.51,0.927649616,0.688612283,0.027064883,0.109,4.392200091,0.154285162,9.421353608,108.7587903,54.99450055,7.6,1,0.146457268,0.756608038,0.478,81.59200637,232.4265117,55.15852079,,0.09914737,0.117304214,0.101,109,0.112,0.019269368,,15.84262543,0.333896757,0.171648034,0.11398639,0.001243912,0.986067708,,3.057533717,3.410599615,94899,0.254093795,,34.47926866,,16.95815629,12.72600013,11.73913044,166.5547921,0.741107135,0.124028756,0.883533291,47431,0.231241171,0.192953975,0.011785541,0.007484557,0.014146866,0.00096983,0.245809703,0.712846029,0.02487395,0.509814257,0.581592338
TX,Kenedy County,,0.379197264,5.793521115,5.317115935,,0.232603848,0.215,3,0.207,0,0.155959126,0,,,0.268292683,0,0,0,,,0.5,0.264397906,0.008333333,0.03587444,0.214,2.550292683,0.023809524,0,977.99511,,7.1,1,0.166666667,0.971014493,0.229,,,,,0.191199112,0.179963563,0.111,,0.143,0.568639931,,,0.382285195,0.3187251,0.160305344,0,,,,,46132,0.609375,,,,,,0,69.43784008,0.233502538,,0.482233503,404,0.247524753,0.168316832,0.022277228,0.017326733,0.017326733,0,0.732673267,0.202970297,0.256410256,0.475247525,1
TX,Kent County,,0.182253603,3.911619496,4.339509818,,0.177525935,0.278,4.2,0.238,0,0.214866586,1,,,0.164728682,0,0,0,2454,0.32,0.23,0.858050848,0.829457364,0.023012552,0.141,6.000099587,0.115646259,0,319.284802,,5.9,1,0.127272727,0.723140496,0.102,,,,,0.119515449,0.137234475,0.125,,0.174,0.361459981,,,0.348656265,0.180851064,0.12,0,,,,,52591,0.342105263,,,,,,0,0,0.695970696,0.099173554,0.736263736,762,0.216535433,0.263779528,0.009186352,0.015748032,0.001312336,0.001312336,0.195538058,0.7664042,0.0048,0.490813648,1
TX,Kerr County,8395.909159,0.194321206,4.105739356,4.336614862,0.080357143,0.172497202,0.238,6.7,0.249,0.709138539,0.196931432,0.275,177.9,30.60829136,0.216780916,0.000839615,0.000684411,0.003079848,2308,0.47,0.51,0.885925493,0.545445783,0.029571705,0.204,3.978057872,0.247989413,15.07489743,237.5226681,87.96839311,7,1,0.13654033,0.786361337,0.223,78.05943702,383.8325709,79.980005,6.024096386,0.125510769,0.138729316,0.151,141.4,0.151,0.128248175,16.58956771,15.56857261,0.361448356,0.249981244,0.131220408,0.000912548,0.953850211,0.095016892,3.047996366,3.358274113,57789,0.612317298,62.92933544,26.60497141,4.726173829,26.19027078,23.92122971,23.90243902,129.078773,0.707190581,0.083572506,0.83063122,52600,0.189429658,0.280779468,0.014828897,0.01148289,0.011939164,0.001140684,0.274429658,0.683041825,0.020755829,0.51851711,0.41102267
TX,Kimble County,12420.05239,0.22152815,4.462727323,4.695801239,0.073954984,0.192840547,0.304,6.6,0.258,0.606468418,0.190521366,0.024390244,204.1,47.18066743,0.20940869,0.000917011,0.000691722,0.000230574,2526,0.3,0.3,0.85096453,0.476383266,0.030612245,0.326,5.381505506,0.150214592,11.46263182,101.9945603,86.67883212,6.2,1,0.121134021,0.738933602,0.247,75.25785276,471.8367308,,,0.139898927,0.151499928,0.092,,0.18,0.076869655,,,0.364342017,0.239290351,0.122653317,0.001152871,,,3.152794637,3.219568594,44757,0.649586777,,38.53460972,,,,40,21.74617767,0.762198542,0.093009119,0.70330903,4337,0.180308969,0.296979479,0.00668665,0.014295596,0.008300669,0.000691722,0.249250634,0.724463915,0.013193257,0.509799401,0.443021489
TX,King County,,0.179715766,3.873651562,4.266903597,,0.180139564,0.197,5.6,0.192,0.006993007,0.220225781,0,,,0.219827586,0,0,0,,,,0.797468354,0.697674419,0.021459228,0.167,2.943080823,0.385714286,0,0,,6,1,0.1,0.734513274,0.18,,,,,0.117625143,0.136219298,0.095,,0.147,0.265517239,,,0.349026973,0.240740741,0.164383562,0,,,,,71256,0.235849057,,,,,,,5.278330445,0.337662338,0.162162162,0.883116883,272,0.264705882,0.1875,0,0.014705882,0,0.003676471,0.169117647,0.786764706,0.085201794,0.5,1
