state,County,premature_death_raw_value,poor_or_fair_health_raw_value,poor_physical_health_days_raw_value,poor_mental_health_days_raw_value,low_birthweight_raw_value,adult_smoking_raw_value,adult_obesity_raw_value,food_environment_index_raw_value,physical_inactivity_raw_value,access_to_exercise_opportunities_raw_value,excessive_drinking_raw_value,alcohol-impaired_driving_deaths_raw_value,sexually_transmitted_infections_raw_value,teen_births_raw_value,uninsured_raw_value,primary_care_physicians_raw_value,dentists_raw_value,mental_health_providers_raw_value,preventable_hospital_stays_raw_value,diabetes_monitoring_raw_value,mammography_screening_raw_value,high_school_graduation_raw_value,some_college_raw_value,unemployment_raw_value,children_in_poverty_raw_value,inadequate_social_support_raw_value,children_in_single-parent_households_raw_value,violent_crime_raw_value,injury_deaths_raw_value,air_pollution_-_particulate_matter_raw_value,drinking_water_violations_raw_value,severe_housing_problems_raw_value,driving_alone_to_work_raw_value,long_commute_-_driving_alone_raw_value,premature_age-adjusted_mortality_raw_value,child_mortality_raw_value,infant_mortality_raw_value,diabetes_prevalence_raw_value,hiv_prevalence_raw_value,food_insecurity_raw_value,limited_access_to_healthy_foods_raw_value,drug_poisoning_deaths_raw_value,motor_vehicle_crash_deaths_raw_value,uninsured_adults_raw_value,uninsured_children_raw_value,health_care_costs_raw_value,other_primary_care_providers_raw_value,could_not_see_doctor_due_to_cost_raw_value,median_household_income_raw_value,children_eligible_for_free_lunch_raw_value,homicides_raw_value,population_raw_value,%_below_18_years_of_age_raw_value,%_65_and_older_raw_value,%_non-hispanic_african_american_raw_value,%_american_indian_and_alaskan_native_raw_value,%_asian_raw_value,%_native_hawaiian/other_pacific_islander_raw_value,%_hispanic_raw_value,%_non-hispanic_white_raw_value,%_not_proficient_in_english_raw_value,%_females_raw_value,%_rural_raw_value,communicable_disease_raw_value,coronary_heart_disease_hospitalizations_raw_value,cerebrovascular_disease_hospitalizations_raw_value,self-inflicted_injury_hospitalizations_raw_value,cancer_incidence_raw_value,smoking_during_pregnancy_raw_value,breastfeeding_raw_value,drug_arrests_raw_value,alcohol-related_hospitalizations_raw_value,motor_vehicle_crash_occupancy_rate_raw_value,on-road_motor_vehicle_crash-related_er_visits_raw_value,off-road_motor_vehicle_crash-related_er_visits_raw_value,no_recent_dental_visit_raw_value,did_not_get_needed_health_care_raw_value,childhood_immunizations_raw_value,local_health_department_staffing_raw_value,influenza_immunizations_65+_raw_value,dental_utilization_raw_value,cervical_cancer_screening_raw_value,colon_cancer_screening_raw_value,cholesterol_screening_raw_value,reading_proficiency_raw_value,w-2_enrollment_raw_value,poverty_raw_value,older_adults_living_alone_raw_value,hate_crimes_raw_value,child_abuse_raw_value,injury_hospitalizations_raw_value,fall_fatalities_65+_raw_value,year_structure_built_raw_value,male_population_0-17_raw_value,male_population_18-44_raw_value,male_population_45-64_raw_value,male_population_65+_raw_value,total_male_population_raw_value,female_population_0-17_raw_value,female_population_18-44_raw_value,female_population_45-64_raw_value,female_population_65+_raw_value,total_female_population_raw_value,population_growth_raw_value
WV,Taylor County,8896.12,0.268,5.7,4.1,0.082,0.256,0.328,8.433578796,0.379,0.491920687,0.092,0.2,136,44.46546831,0.187713807,0.000354694,0.000176564,,89.30946942,0.830434783,0.567567568,0.725,0.460741423,0.070345581,0.256,0.158,0.280782509,11.83782184,74.1,13.42,0,0.083586626,0.857746069,0.403,446.8,,,0.117,41.6,0.131,0.012091119,10.32453454,16.34717968,0.232639225,0.055043308,9351.14521,,0.148,39665,0.413361169,,16991,0.203460656,0.171090577,0.008205431,0.002420307,0.00377804,0,0.008913814,0.967591499,0,0.493329398,0.597040545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WV,Tucker County,7714.29,0.151,4.6,4.2,0.071,0.257,0.301,8.146183012,0.38,0.985436213,,0.714285714,99.7,38.88888889,0.208477983,0.000569719,0.000714796,,61.56984919,0.87654321,0.73255814,0.825,0.466189857,0.093543654,0.249,0.135,0.199850299,353.6067893,78.4,13.21,0.063384267,0.124600639,0.774823831,0.448,376.4,,,0.122,,0.149,0.00519932,,21.95521137,0.252146947,0.068991098,8641.440857,,0.1,35423,0.455645161,,6995,0.193280915,0.213295211,0.003099028,0.002253839,0.002112974,0.00028173,0.00774757,0.978165939,0,0.494858431,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WV,Tyler County,8700.52,0.158,,3,0.084,0.294,0.34,8.05326332,0.361,0.636294527,0.172,0.333333333,65.8,50.29451744,0.180485819,0.000548186,0.000110656,,113.699503,0.836363636,0.694915254,0.975,0.432153392,0.087817938,0.242,0.12,0.259064635,120.0991787,92,13.5,0,0.08707124,0.803006577,0.418,453.4,,,0.137,,0.144,0.023799996,,18.24401368,0.222723174,0.055036345,12396.96404,,0.272,37826,0.451021846,,9037,0.201947549,0.193869647,0.002195149,0.002195149,0.001426847,0,0.006695204,0.981670508,0.00126089,0.508945231,0.910512598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WV,Upshur County,8086.15,0.194,3.7,3.2,0.073,0.207,0.315,8.217098232,0.365,0.594087573,,0.458333333,160.3,34.07206392,0.197081824,0.000534496,0.000367692,,84.04547243,0.744927536,0.587234043,0.7,0.390191129,0.070587127,0.27,0.192,0.271358828,56.7969302,75.9,13.27,0.050362793,0.095263724,0.852597538,0.329,381.4,69.55139351,,0.129,42,0.138,0.019525561,8.363901402,20.31233198,0.248484849,0.050536585,7676.750439,,0.115,44593,0.438841479,,24477,0.203783143,0.172365895,0.006757592,0.002513495,0.00358482,4.12048E-05,0.009971569,0.968560715,0,0.50776711,0.640018141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WV,Wayne County,10094.43,0.285,6.8,6.1,0.129,0.325,0.355,7.759993838,0.378,0.279701514,0.113,0.321428571,111.6,41.96466134,0.185998331,0.000498505,0.000384163,,108.0518513,0.841328413,0.490610329,0.75,0.502811398,0.077763344,0.28,0.255,0.289139633,153.3262156,89.1,13.06,0,0.11761194,0.897752594,0.322,481.6,56.93139767,8.1,0.144,24.8,0.141,0.057902488,17.38293263,24.73725029,0.235449427,0.048164896,9570.950568,,0.249,37705,0.494147027,7.354317653,41649,0.218804773,0.174602031,0.002291115,0.00260137,0.00198086,0.000190926,0.005632324,0.980048209,0.000325423,0.512684662,0.651867894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WV,Webster County,10476.93,0.239,5.3,3.7,0.096,0.299,0.356,7.746650588,0.34,0.484269172,,0.333333333,131.2,46.6724287,0.199493266,0.000546867,0.000221166,,113.8552934,0.787709497,0.586956522,0.725,0.333494676,0.124352332,0.398,0.16,0.253118503,,110.3,13.21,0,0.117861482,0.818642993,0.419,497.7,,,0.135,75.7,0.165,0.012989105,27.56212963,22.96844136,0.248885719,0.057114722,9407.747648,,0.173,27382,0.563885267,,9043,0.207121531,0.192192856,0.002181977,0.000872791,0.000872791,0,0.004800349,0.981562295,0,0.504363954,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WV,Wetzel County,8567.99,0.231,4.9,3.7,0.086,0.342,0.354,6.048540475,0.368,0.484230839,,0.333333333,140.7,51.60427808,0.174009996,0.00036695,0.000365364,,111.161765,0.786516854,0.591240876,0.86,0.437208024,0.10353265,0.261,0.181,0.297674419,55.10046652,71.9,13.59,0,0.108774474,0.82606383,0.401,414.5,,,0.136,42.2,0.154,0.198187405,,18.67873426,0.215597742,0.053391053,10218.75096,,0.228,37759,0.435302391,,16422,0.20490805,0.204786262,0.002132456,0.000974837,0.002802656,6.09273E-05,0.005300676,0.98275757,0.001979313,0.508560288,0.538563589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WV,Wirt County,9844.24,0.161,2.7,2.5,0.076,0.281,0.384,8.171074744,0.325,0.147105125,,0.5,,40.93567252,0.20008285,0.000347102,0.000171028,,115.1151015,0.849557522,0.606557377,0.925,0.423501577,0.104770017,0.285,0.149,0.208573784,273.3352719,,13.26,0,0.099365751,0.841574652,0.569,426.4,,,0.144,,0.148,0.004720093,,,0.243250614,0.066393443,10035.96887,,0.131,36999,0.481188119,,5847,0.206943732,0.171711989,0.002411299,0.002066827,0.001894592,0.000172236,0.006028247,0.977781605,0,0.499138822,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WV,Wood County,7944.21,0.205,5.1,5.1,0.096,0.277,0.317,7.736575014,0.327,0.512408575,0.098,0.291666667,221.5,48.35924007,0.175295619,0.000780533,0.000519025,,110.1931323,0.860841424,0.631739573,0.81,0.621398595,0.073455071,0.257,0.178,0.308526207,343.9476738,57.4,13.32,0.083365801,0.130314743,0.828700782,0.154,416.2,68.27551798,8.7,0.144,79.3,0.139,0.064014723,11.03185737,10.20858443,0.222411444,0.043646694,10707.30191,,0.17,42065,0.432508312,3.293091752,86701,0.215925999,0.17566118,0.01104368,0.00201527,0.005608209,0.000426086,0.00875203,0.959187904,0.002090746,0.518051061,0.267744607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WV,Wyoming County,14864.16,0.348,7.6,7.7,0.118,0.346,0.37,8.254415749,0.449,0.19721802,0.056,0.43902439,76.9,61.05476673,0.171890031,0.000256202,0.000171873,,142.8681054,0.805620609,0.502262443,0.82,0.373917653,0.090036452,0.314,0.242,0.247910296,271.3603606,152.5,13.02,0.025809108,0.073424658,0.853872733,0.517,692.6,87.31506185,,0.173,33.3,0.141,0.010145744,59.77357061,31.95814666,0.213130224,0.050136028,10661.91626,,0.242,32880,0.512912347,8.285445432,23273,0.216259185,0.162892622,0.005238724,0.001320329,0.001107373,8.51825E-05,0.004855403,0.977469228,0.003801941,0.502619362,0.888846865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
