state,County,premature_death_raw_value,poor_or_fair_health_raw_value,poor_physical_health_days_raw_value,poor_mental_health_days_raw_value,low_birthweight_raw_value,adult_smoking_raw_value,adult_obesity_raw_value,food_environment_index_raw_value,physical_inactivity_raw_value,access_to_exercise_opportunities_raw_value,excessive_drinking_raw_value,alcohol-impaired_driving_deaths_raw_value,sexually_transmitted_infections_raw_value,teen_births_raw_value,uninsured_raw_value,primary_care_physicians_raw_value,dentists_raw_value,mental_health_providers_raw_value,preventable_hospital_stays_raw_value,mammography_screening_raw_value,flu_vaccinations_raw_value,high_school_completion_raw_value,some_college_raw_value,unemployment_raw_value,children_in_poverty_raw_value,income_inequality_raw_value,children_in_single-parent_households_raw_value,social_associations_raw_value,injury_deaths_raw_value,air_pollution_-_particulate_matter_raw_value,drinking_water_violations_raw_value,severe_housing_problems_raw_value,driving_alone_to_work_raw_value,long_commute_-_driving_alone_raw_value,life_expectancy_raw_value,premature_age-adjusted_mortality_raw_value,child_mortality_raw_value,infant_mortality_raw_value,frequent_physical_distress_raw_value,frequent_mental_distress_raw_value,diabetes_prevalence_raw_value,hiv_prevalence_raw_value,food_insecurity_raw_value,limited_access_to_healthy_foods_raw_value,drug_overdose_deaths_raw_value,insufficient_sleep_raw_value,uninsured_adults_raw_value,uninsured_children_raw_value,other_primary_care_providers_raw_value,high_school_graduation_raw_value,disconnected_youth_raw_value,reading_scores_raw_value,math_scores_raw_value,school_segregation_raw_value,school_funding_adequacy_raw_value,gender_pay_gap_raw_value,median_household_income_raw_value,living_wage_raw_value,children_eligible_for_free_or_reduced_price_lunch_raw_value,residential_segregation_-_black/white_raw_value,child_care_cost_burden_raw_value,child_care_centers_raw_value,homicides_raw_value,suicides_raw_value,firearm_fatalities_raw_value,motor_vehicle_crash_deaths_raw_value,juvenile_arrests_raw_value,voter_turnout_raw_value,census_participation_raw_value,traffic_volume_raw_value,homeownership_raw_value,severe_housing_cost_burden_raw_value,broadband_access_raw_value,population_raw_value,%_below_18_years_of_age_raw_value,%_65_and_older_raw_value,%_non-hispanic_black_raw_value,%_american_indian_or_alaska_native_raw_value,%_asian_raw_value,%_native_hawaiian_or_other_pacific_islander_raw_value,%_hispanic_raw_value,%_non-hispanic_white_raw_value,%_not_proficient_in_english_raw_value,%_female_raw_value,%_rural_raw_value
IL,Stark County,10567.80653,0.152,3.681193891,4.923621594,0.062650602,0.186,0.358,6.7,0.276,0.473518519,0.165794114,0.363636364,302.2,13.3096717,0.083924639,,0.000187091,,3033,0.39,0.39,0.909303534,0.622739018,0.048678137,0.162,4.445107781,0.131233596,20.77823952,123.3229941,8.6,0,0.091106291,0.830536913,0.444,74.49662841,499.6857748,,,0.114,0.167,0.092,,0.099,0.196932507,,0.327,0.097090663,0.049194232,0.000374182,,,3.047491601,3.084550948,0.032708872,591.6448,0.862277785,59234,,0.435779817,,0.284346828,3.636363636,,,,28.70338961,,0.688888889,0.699,0.133410834,0.759673259,0.088988764,0.826311264,5345,0.216089804,0.232366698,0.013657624,0.003180543,0.006548176,0.001122544,0.026753976,0.936389149,0.006456662,0.49373246,1
IL,Stephenson County,9061.479266,0.158,3.768813513,5.001202982,0.085514303,0.181,0.385,8.5,0.286,0.689625812,0.15278906,0.407407407,529.3,25.62642369,0.065708419,0.000477045,0.000504275,0.002246315,2337,0.43,0.49,0.918147329,0.651533341,0.04501375,0.217,4.608338369,0.251427363,13.62985848,114.3335569,9.3,0,0.122847011,0.770267582,0.276,76.69659542,425.0892148,50.8942853,7.775119617,0.116,0.167,0.099,122.7,0.105,0.016959271,18.88930865,0.335,0.08068238,0.028370958,0.000710569,,0.06744868,2.707447931,2.65351224,0.150457122,4687.3562,0.75013045,60988,,0.475046523,52.2806839,0.276169082,2.333722287,5.103179919,14.59680472,12.15356707,13.07689854,17.90697674,0.63447482,0.74,52.01874,0.69545431,0.119989268,0.84175415,43627,0.209824191,0.244389942,0.097531345,0.003438238,0.008320535,0.000412589,0.050908841,0.807504527,0.004685456,0.512526646,0.459220255
IL,Tazewell County,7317.536261,0.132,3.272828423,4.556527898,0.065109397,0.162,0.356,8.2,0.246,0.829134404,0.172397136,0.26,246.1,16.3723326,0.056354166,0.000429405,0.000585016,0.002239995,2551,0.46,0.55,0.936692254,0.697532744,0.040798822,0.117,4.022145451,0.179736105,13.34222815,73.00632772,9.2,1,0.09361978,0.819855898,0.235,77.3886782,389.5122422,45.83734734,4.901960784,0.103,0.157,0.084,78.9,0.081,0.092754666,20.61105414,0.315,0.068028486,0.027855698,0.000738967,,0.069350527,3.059409168,3.060170477,0.036472043,3506.343763,0.729353203,73285,,0.364785436,68.37946765,0.314962134,3.648648649,1.93958829,14.2043904,7.437235049,10.12896107,6.618705036,0.681154131,0.762,66.9712034,0.772784857,0.092580546,0.872941352,129911,0.217518147,0.201245468,0.015025671,0.003587071,0.00962967,0.000461855,0.027795953,0.929867371,0.003178486,0.5033369,0.218222517
IL,Union County,10133.01336,0.167,3.877119243,4.911709551,0.073394495,0.194,0.366,7.8,0.296,0.562572489,0.158637314,0.363636364,271.8,19.19102451,0.079320543,0.000768185,0.000715692,0.002266357,3278,0.43,0.5,0.879886914,0.544585164,0.050557831,0.303,4.850773831,0.147826087,13.00005909,91.75951856,8.7,1,0.101247249,0.847111111,0.435,74.08994239,526.7236746,,,0.122,0.17,0.099,41.5,0.13,0.02900413,31.95270999,0.334,0.093850129,0.040926225,0.001312101,,,2.919907745,2.734037745,0.128632396,-3739.513643,0.80279647,51116,,0.563664596,73.03630363,0.329505439,5.376344086,,32.2618511,14.30018471,,19.375,0.678838808,0.662,30.69776931,0.784563064,0.097481848,0.686529647,16767,0.20468778,0.235581798,0.016520546,0.007812966,0.005546609,0.000417487,0.053736506,0.903441284,0.00419779,0.496928491,0.648109487
IL,Vermilion County,11905.71187,0.179,3.989354268,5.037260602,0.111462451,0.205,0.38,7.5,0.31,0.68399202,0.15504804,0.381818182,786.6,38.25662751,0.065472174,0.000355702,0.000373253,0.003787826,5475,0.45,0.35,0.905564991,0.488222698,0.050014111,0.245,4.440794467,0.360591361,13.13359327,110.9869115,9,0,0.122521361,0.819636606,0.248,73.21003532,577.2572242,76.76294562,10.41038021,0.127,0.175,0.111,201.5,0.117,0.084771801,31.73780106,0.351,0.082418836,0.026874116,0.001548309,,0.098184819,2.68381148,2.741614009,0.223570357,437.7742933,0.726920151,52083,,0.632412816,60.48388851,0.32338767,3.000428633,11.38450513,19.20380095,19.55483678,14.93049853,22.02531646,0.545445126,0.648,64.93815089,0.694923756,0.104337632,0.829253612,72337,0.231596555,0.206339771,0.136665883,0.003981365,0.008570994,0.000608264,0.057287419,0.771403293,0.006337026,0.497338845,0.395373915
IL,Wabash County,8355.095966,0.157,3.77530899,5.046527408,0.096997691,0.188,0.367,8.2,0.281,0.695449344,0.162817271,0.333333333,187.5,27.49301025,0.065008026,0.000357079,0.000450979,0.003066655,3334,0.41,0.35,0.930417495,0.71685569,0.033350795,0.171,5.34483394,0.249190939,22.31744331,66.72519754,8.7,0,0.094142259,0.825938567,0.294,77.07974991,420.7447451,,,0.118,0.17,0.096,63.5,0.111,0.033265222,,0.329,0.078825594,0.030995738,0.001352936,,,2.770522881,3.081417487,0.019350116,-1540.6116,0.651286171,63777,,0.490322581,,0.264092071,3.025718608,,,,12.5025005,,0.638834952,0.646,57.29454118,0.767685224,0.091984231,0.81017162,11087,0.218544241,0.231983404,0.009560747,0.002886263,0.013529359,0.001172544,0.032470461,0.922431677,0.005332086,0.503472535,0.38711381
IL,Warren County,7841.021524,0.155,3.645638114,4.644964007,0.07310149,0.174,0.372,8.7,0.278,0.546539947,0.16617692,0.235294118,266.2,16.72171759,0.078036092,0.000544432,0.000366883,0.000244589,1847,0.49,0.36,0.875,0.641782237,0.039187974,0.212,3.855790702,0.29336596,12.09848164,67.63972944,8.5,0,0.1089838,0.809752839,0.223,76.37738526,404.3503695,63.29478106,,0.114,0.162,0.096,,0.09,0.028487708,,0.322,0.094967625,0.036996736,0.000489177,,,2.728909908,2.892246545,0.086584061,6907.737,0.670333086,57357,,0.772335423,54.36876289,0.293652039,5.617977528,,12.01940898,,10.06922593,0,0.617167382,0.71,41.65534921,0.764774722,0.074353448,0.83689292,16354,0.22251437,0.202274673,0.027944234,0.005136358,0.021646081,0.002507032,0.108230402,0.822000734,0.030282045,0.50085606,0.454172854
IL,Washington County,7188.965753,0.132,3.371988537,4.648660389,0.06,0.164,0.354,9.1,0.252,0.491897391,0.175430425,0.458333333,256.3,16.79771265,0.048518276,0.000146467,0.000293191,0.001539251,2142,0.46,0.49,0.92530534,0.711405167,0.024190242,0.102,3.711775405,0.13511636,22.70230685,87.98373022,8.4,0,0.087209302,0.828916021,0.385,78.68334976,341.9257917,,,0.103,0.158,0.083,0,0.068,0.03582785,,0.318,0.057244625,0.025838926,0.000879572,,,3.284679182,3.009134782,0.03688216,-348.4242,0.80973628,71958,,0.349465391,,0.234067095,2.721088435,,22.71358216,17.3082748,26.59710501,5,0.720656635,0.708,18.21678367,0.824256134,0.076223395,0.835740386,13643,0.207578978,0.218207139,0.010481566,0.002272228,0.004837646,0.000219893,0.016345379,0.956167998,0.002218143,0.493293264,0.993169101
IL,Wayne County,10179.75876,0.168,3.974332751,5.22335272,0.073540561,0.201,0.369,7.7,0.295,0.335743866,0.160318207,0.4,288.2,28.06909315,0.092233787,0.000563804,0.000252016,0.001512097,2088,0.4,0.38,0.892825588,0.632866172,0.038848921,0.2,4.428192415,0.197353914,25.0579465,99.9555753,8.7,0,0.108222066,0.82547103,0.333,75.1062416,462.5478545,69.27824663,,0.124,0.177,0.098,59.9,0.109,0.084024116,,0.334,0.107114758,0.056338028,0.001008065,,0.155128205,3.316351498,3.057614292,0.083344157,-1527.615667,0.777541463,53359,,0.458507963,,0.315654341,3.018108652,,26.49636938,13.57421393,20.20113302,8.75,0.676175299,0.659,26.61335098,0.786360981,0.100550964,0.764602804,15872,0.220514113,0.224420363,0.006552419,0.003150202,0.006489415,0.000126008,0.021232359,0.953818044,0.002041085,0.501827117,0.705420607
IL,White County,9705.499491,0.171,4.033932593,5.25187152,0.087408949,0.204,0.388,8,0.299,0.521726598,0.158714197,0.133333333,217.6,29.35420744,0.068058922,0.000290192,0.000440723,0.001615984,3854,0.4,0.36,0.884727091,0.636537847,0.038633726,0.195,4.881608655,0.242240216,24.66627975,108.3645736,8.7,0,0.100993378,0.841774303,0.356,73.94461232,531.8551642,,,0.126,0.179,0.101,,0.121,0.023276618,,0.336,0.082404768,0.032823454,0.000954899,,,3.002447192,2.931343757,0.06685706,-1301.911233,0.808419029,54611,,0.517834121,,0.308417718,4,,24.15002408,17.57263355,26.82984717,30.71428571,0.690325581,0.634,28.08057134,0.764270613,0.118158284,0.763918252,13614,0.213677097,0.23365653,0.006904657,0.003746144,0.006023211,0.000514177,0.016380197,0.956956075,0.000304252,0.504701043,0.634863443
IL,Whiteside County,8338.477423,0.153,3.666300695,4.895597343,0.065164729,0.177,0.38,8.2,0.289,0.741807473,0.170810454,0.21875,280.3,21.11932418,0.068399739,0.000506283,0.000420798,0.001610011,2573,0.41,0.46,0.907713993,0.607069798,0.040381604,0.174,4.488458229,0.26941128,15.18850014,74.40046229,9.4,0,0.101184069,0.816537369,0.201,76.6277984,417.599117,62.10011291,5.423249234,0.113,0.161,0.096,,0.094,0.062593336,12.11122953,0.328,0.083015205,0.03229618,0.001445351,,0.04506196,3.238059306,2.993748909,0.099572212,2869.660338,0.774613866,62038,,0.45503576,67.2051213,0.372062284,4.173354735,3.073022702,13.49402158,9.39034961,14.08468738,4.464285714,0.645789101,0.743,59.90287735,0.744301502,0.088412323,0.834873079,54658,0.216747777,0.220388598,0.01536829,0.005141059,0.007007209,0.000292729,0.130795126,0.831369607,0.010363581,0.500530572,0.435510226
IL,Will County,6224.679086,0.133,3.121501985,4.249503987,0.076251732,0.133,0.338,9,0.248,0.924323082,0.175275352,0.310231023,381.9,8.945467057,0.066109023,0.000540694,0.000599922,0.001782544,3830,0.42,0.49,0.915991059,0.699972307,0.046090987,0.092,3.781769974,0.174140263,6.712063931,55.92640824,9.8,1,0.128789346,0.761999478,0.495,78.82163973,316.3152334,43.38846561,5.371949083,0.095,0.139,0.091,117.3,0.055,0.073496638,21.28355229,0.336,0.081413922,0.028626042,0.000766408,,0.075316471,3.125703575,3.14922396,0.212594484,3730.956317,0.751727036,97076,,0.353640641,53.33460439,0.237772467,2.85216689,3.844179293,10.84757167,8.030754903,8.267052242,3.305186972,0.711923672,0.77,81.80656953,0.822252619,0.109163398,0.923108456,696757,0.233573541,0.146802974,0.121837312,0.005166794,0.067356338,0.000572653,0.194574292,0.599487339,0.03097727,0.499653394,0.048748124
